t (s),V (mV)
312.898,12.5396
313.897,12.5222
314.897,12.505
315.897,12.4874
316.897,12.4705
317.897,12.4531
318.898,12.4346
319.898,12.4168
320.898,12.3987
321.897,12.3824
322.898,12.366
323.897,12.3476
324.897,12.3314
325.897,12.313
326.897,12.2954
327.898,12.2774
328.897,12.2603
329.897,12.2429
330.897,12.2255
331.897,12.208
332.898,12.1896
333.897,12.1726
334.897,12.1558
335.898,12.1366
336.897,12.1198
337.897,12.1025
338.897,12.0856
339.898,12.0679
340.897,12.0506
341.897,12.0345
342.897,12.0168
343.897,12.0012
344.897,11.9816
345.897,11.9647
346.897,11.9491
347.897,11.9327
348.898,11.9138
349.897,11.8972
350.897,11.882
351.897,11.8639
352.897,11.8471
353.897,11.8303
354.897,11.8148
355.897,11.7994
356.898,11.7806
357.897,11.7671
358.897,11.7507
359.897,11.7328
360.897,11.7159
361.897,11.7011
362.897,11.684
363.897,11.6685
364.898,11.6516
365.897,11.6361
366.897,11.6199
367.897,11.6034
368.898,11.5854
369.897,11.5696
370.897,11.5548
371.898,11.5361
372.897,11.5212
373.897,11.506
374.897,11.4896
375.898,11.4727
376.897,11.457
377.897,11.4408
378.897,11.4255
379.897,11.4094
380.897,11.3936
381.897,11.3784
382.897,11.3615
383.897,11.3462
384.897,11.3302
385.897,11.3151
386.897,11.3005
387.897,11.2838
388.897,11.2686
389.897,11.2518
390.897,11.2388
391.897,11.2214
392.897,11.207
393.898,11.1899
394.897,11.1753
395.898,11.158
396.897,11.143
397.897,11.129
398.897,11.1125
399.898,11.0955
400.897,11.0814
401.897,11.0654
402.898,11.0483
403.897,11.0343
404.897,11.019
405.897,11.0024
406.897,10.9876
407.897,10.9738
408.897,10.9574
409.898,10.9417
410.897,10.927
411.897,10.913
412.898,10.8956
413.897,10.8806
414.897,10.8669
415.898,10.8504
416.897,10.8361
417.897,10.8219
418.897,10.8071
419.898,10.7907
420.897,10.7767
421.897,10.763
422.898,10.7469
423.897,10.7323
424.897,10.7182
425.898,10.7025
426.897,10.6882
427.897,10.6744
428.898,10.6591
429.897,10.6442
430.897,10.6299
431.897,10.614
432.897,10.5995
433.896,10.585
434.896,10.5704
435.896,10.5556
436.896,10.5408
437.896,10.5261
438.896,10.5117
439.896,10.4961
440.896,10.4834
441.896,10.4668
442.896,10.4528
443.896,10.4389
444.896,10.4243
445.896,10.4095
446.896,10.3944
447.896,10.3799
448.896,10.3641
449.896,10.3508
450.896,10.336
451.896,10.3215
452.896,10.3074
453.896,10.2925
454.896,10.2785
455.896,10.2632
456.896,10.2495
457.896,10.2339
458.896,10.2199
459.896,10.2056
460.896,10.1912
461.896,10.1765
462.896,10.1617
463.896,10.1467
464.896,10.1308
465.896,10.116
466.896,10.1007
467.896,10.0799
468.896,10.0637
469.896,10.0526
470.896,10.0394
471.896,10.0272
472.896,10.0142
473.896,10.0005
474.897,9.9871
475.897,9.9726
476.898,9.9582
477.897,9.9452
478.897,9.9314
479.897,9.9185
480.897,9.9046
481.898,9.8908
482.897,9.8778
483.897,9.8648
484.897,9.8527
485.897,9.8388
486.898,9.8254
487.897,9.812
488.897,9.8004
489.898,9.7856
490.897,9.7727
491.897,9.76
492.897,9.7473
493.897,9.7344
494.898,9.7199
495.897,9.708
496.897,9.6945
