x-axis,1,2,3
second,Volt,Volt,Volt
+4.60000E-03,-104.34965E-03,+20.79755043E+00,-26.49190E-03
+4.61400E-03,-105.96056E-03,+20.87019937E+00,-26.49190E-03
+4.62800E-03,-107.22977E-03,+20.89805294E+00,-26.49190E-03
+4.64200E-03,-107.58009E-03,+20.96007738E+00,-26.49190E-03
+4.65600E-03,-108.58512E-03,+21.00602145E+00,-26.30525E-03
+4.67000E-03,-108.12568E-03,+21.09905797E+00,-26.27654E-03
+4.68400E-03,-107.89308E-03,+21.14930922E+00,-26.49190E-03
+4.69800E-03,-104.27356E-03,+21.16969679E+00,-26.49190E-03
+4.71200E-03,-94.24340E-03,+21.30006299E+00,-26.49190E-03
+4.72600E-03,-83.98641E-03,+21.30006299E+00,-26.49190E-03
+4.74000E-03,-92.76315E-03,+21.40056551E+00,-26.49190E-03
+4.75400E-03,-100.22475E-03,+21.45081676E+00,-26.49190E-03
+4.76800E-03,-103.90744E-03,+21.49073075E+00,-26.49190E-03
+4.78200E-03,-105.22690E-03,+21.58319308E+00,-26.49190E-03
+4.79600E-03,-105.43795E-03,+21.60157053E+00,-26.49190E-03
+4.81000E-03,-104.90959E-03,+21.66761521E+00,-24.76901E-03
+4.82400E-03,-103.30873E-03,+21.70207305E+00,-26.49190E-03
+4.83800E-03,-102.30514E-03,+21.80228860E+00,-26.49190E-03
+4.85200E-03,-100.62819E-03,+21.84449967E+00,-26.49190E-03
+4.86600E-03,-99.53989E-03,+21.85282682E+00,-26.49190E-03
+4.88000E-03,-97.65188E-03,+21.92892180E+00,-27.71228E-03
+4.89400E-03,-95.17952E-03,+22.00358059E+00,-26.49190E-03
+4.90800E-03,-91.95339E-03,+22.04406849E+00,-26.49190E-03
+4.92200E-03,-88.95266E-03,+22.10408310E+00,-29.00446E-03
+4.93600E-03,-84.18310E-03,+22.19826858E+00,-26.49190E-03
+4.95000E-03,-79.76242E-03,+22.20458561E+00,-26.49190E-03
+4.96400E-03,-75.39201E-03,+22.25483687E+00,-26.49190E-03
+4.97800E-03,-71.00291E-03,+22.32490178E+00,-26.49190E-03
+4.99200E-03,-66.38985E-03,+22.40559064E+00,-26.49190E-03
+5.00600E-03,-61.77678E-03,+22.45584190E+00,-26.49190E-03
+5.02000E-03,-55.95051E-03,+22.55203749E+00,-26.49190E-03
+5.03400E-03,-49.72078E-03,+22.59424856E+00,-26.49190E-03
+5.04800E-03,-42.31518E-03,+22.62698296E+00,-26.49190E-03
+5.06200E-03,-34.84784E-03,+22.70709818E+00,-26.49190E-03
+5.07600E-03,-27.63176E-03,+22.75734944E+00,-26.49190E-03
+5.09000E-03,-20.38697E-03,+22.80760069E+00,-26.77907E-03
+5.10400E-03,-12.45732E-03,+22.85555515E+00,-26.49190E-03
+5.11800E-03,-3.67770E-03,+22.90810321E+00,-26.49190E-03
+5.13200E-03,+5.66329E-03,+22.95835446E+00,-28.08560E-03
+5.14600E-03,+18.08971E-03,+23.03243961E+00,-26.49190E-03
+5.16000E-03,+31.05597E-03,+23.05885698E+00,-26.49190E-03
+5.17400E-03,+42.42137E-03,+23.10910823E+00,-26.49190E-03
+5.18800E-03,+53.20816E-03,+23.15907281E+00,-26.49190E-03
+5.20200E-03,+63.36035E-03,+23.15935949E+00,-26.49190E-03
+5.21600E-03,+74.51613E-03,+23.22597781E+00,-26.49190E-03
+5.23000E-03,+85.93753E-03,+23.31011326E+00,-26.49190E-03
+5.24400E-03,+98.86934E-03,+23.32791707E+00,-26.49190E-03
+5.25800E-03,+112.45009E-03,+23.37012814E+00,-26.49190E-03
+5.27200E-03,+126.97127E-03,+23.46086703E+00,-24.06551E-03
+5.28600E-03,+140.28211E-03,+23.51111829E+00,-26.49190E-03
+5.30000E-03,+152.57788E-03,+23.56136954E+00,-26.49190E-03
+5.31400E-03,+163.46517E-03,+23.58376668E+00,-26.49190E-03
+5.32800E-03,+173.50824E-03,+23.66187206E+00,-27.48260E-03
+5.34200E-03,+184.39123E-03,+23.71212331E+00,-26.49190E-03
+5.35600E-03,+196.18017E-03,+23.76237457E+00,-26.49190E-03
+5.37000E-03,+208.05525E-03,+23.81262583E+00,-26.49190E-03
+5.38400E-03,+219.75807E-03,+23.91312834E+00,-26.49190E-03
+5.39800E-03,+230.49460E-03,+23.93351536E+00,-26.49190E-03
+5.41200E-03,+239.52402E-03,+23.96337960E+00,-29.00446E-03
+5.42600E-03,+247.92747E-03,+24.02741471E+00,-27.18109E-03
+5.44000E-03,+255.40629E-03,+24.11413337E+00,-26.49190E-03
+5.45400E-03,+263.15935E-03,+24.16438462E+00,-26.49190E-03
+5.46800E-03,+271.30005E-03,+24.21463588E+00,-29.00446E-03
+5.48200E-03,+279.18950E-03,+24.26488714E+00,-27.41074E-03
+5.49600E-03,+286.45727E-03,+24.31513839E+00,-27.81275E-03
+5.51000E-03,+292.98704E-03,+24.38118362E+00,-26.49190E-03
+5.52400E-03,+298.56636E-03,+24.45813838E+00,-28.61677E-03
+5.53800E-03,+303.21963E-03,+24.46589216E+00,-26.49190E-03
+5.55200E-03,+307.53837E-03,+24.54974148E+00,-28.58813E-03
+5.56600E-03,+311.52689E-03,+24.60027915E+00,-26.49190E-03
+5.58000E-03,+315.67189E-03,+24.66689719E+00,-26.49190E-03
+5.59400E-03,+320.07390E-03,+24.70250537E+00,-28.11426E-03
+5.60800E-03,+323.42207E-03,+24.76739970E+00,-26.49190E-03
+5.62200E-03,+325.88008E-03,+24.76912341E+00,-28.91828E-03
+5.63600E-03,+328.97699E-03,+24.86790222E+00,-26.80772E-03
+5.65000E-03,+330.79033E-03,+24.91815347E+00,-26.49190E-03
+5.66400E-03,+332.76018E-03,+24.96840473E+00,-26.49190E-03
+5.67800E-03,+334.52473E-03,+25.01865599E+00,-26.49190E-03
+5.69200E-03,+336.25624E-03,+25.08068126E+00,-26.49190E-03
