x-axis,1,2,3
second,Volt,Volt,Volt
+5.79000E-03,+182.25478E-03,+25.52691250E+00,-21.46677E-03
+5.80400E-03,+179.41199E-03,+25.57371606E+00,-21.46677E-03
+5.81800E-03,+177.44789E-03,+25.67192232E+00,-23.46251E-03
+5.83200E-03,+175.42636E-03,+25.72217358E+00,-22.38561E-03
+5.84600E-03,+172.45149E-03,+25.77242484E+00,-21.46677E-03
+5.86000E-03,+169.64890E-03,+25.83847034E+00,-21.46677E-03
+5.87400E-03,+166.46297E-03,+25.87292735E+00,-21.46677E-03
+5.88800E-03,+163.52829E-03,+25.97342986E+00,-21.46677E-03
+5.90200E-03,+160.76015E-03,+26.02368112E+00,-23.56302E-03
+5.91600E-03,+158.16146E-03,+26.05756587E+00,-22.28510E-03
+5.93000E-03,+156.23181E-03,+26.09977693E+00,-23.97934E-03
+5.94400E-03,+154.48021E-03,+26.17443489E+00,-22.35699E-03
+5.95800E-03,+152.97267E-03,+26.22468615E+00,-21.46677E-03
+5.97200E-03,+152.96405E-03,+26.27493740E+00,-21.55297E-03
+5.98600E-03,+153.63170E-03,+26.32518866E+00,-21.46677E-03
+6.00000E-03,+156.95690E-03,+26.37543992E+00,-22.18459E-03
+6.01400E-03,+160.53765E-03,+26.42569117E+00,-21.46677E-03
+6.02800E-03,+157.70773E-03,+26.47594243E+00,-21.46677E-03
+6.04200E-03,+148.46583E-03,+26.54974227E+00,-23.39062E-03
+6.05600E-03,+139.77665E-03,+26.58017905E+00,-23.79263E-03
+6.07000E-03,+131.14201E-03,+26.67694746E+00,-21.68208E-03
+6.08400E-03,+124.63378E-03,+26.72719871E+00,-24.59665E-03
+6.09800E-03,+118.91805E-03,+26.82770123E+00,-23.97934E-03
+6.11200E-03,+113.40622E-03,+26.85612788E+00,-22.55800E-03
+6.12600E-03,+109.22965E-03,+26.89173689E+00,-23.29012E-03
+6.14000E-03,+106.18156E-03,+26.97845500E+00,-21.46677E-03
+6.15400E-03,+104.24043E-03,+27.02641028E+00,-23.97934E-03
+6.16800E-03,+103.87433E-03,+27.06862135E+00,-23.97934E-03
+6.18200E-03,+104.45582E-03,+27.14758512E+00,-23.97934E-03
+6.19600E-03,+108.84492E-03,+27.17946002E+00,-21.46677E-03
+6.21000E-03,+113.90596E-03,+27.21391675E+00,-23.97934E-03
+6.22400E-03,+113.21526E-03,+27.27996254E+00,-21.85449E-03
