x-axis,1,2,3
second,Volt,Volt,Volt
-13.75000E-03,,,
-13.73700E-03,,,
-13.72400E-03,+1.74924621E+00,+14.13693434E+00,-27.68266076E+00
-13.71100E-03,+1.77437184E+00,+17.35301477E+00,-26.67763561E+00
-13.69800E-03,+1.78442209E+00,+22.27763792E+00,-27.93391705E+00
-13.68500E-03,+1.74924621E+00,+30.21733648E+00,-26.67763561E+00
-13.67200E-03,+1.74924621E+00,+42.37814059E+00,-25.92386675E+00
-13.65900E-03,+1.77437184E+00,+64.68969855E+00,-26.67763561E+00
-13.64600E-03,+1.74422108E+00,+98.86055309E+00,-26.17512304E+00
-13.63300E-03,+1.77437184E+00,+112.52889491E+00,-26.67763561E+00
-13.62000E-03,+1.78442209E+00,+43.78517578E+00,-27.93391705E+00
-13.60700E-03,+1.74924621E+00,+6.09673327E+00,-27.18014818E+00
-13.59400E-03,+1.74924621E+00,+2.78015033E+00,-27.68266076E+00
-13.58100E-03,+1.77437184E+00,+1.27261263E+00,-27.18014818E+00
-13.56800E-03,+1.74924621E+00,+669.59755E-03,-27.93391705E+00
-13.55500E-03,+1.74924621E+00,+468.59252E-03,-27.18014818E+00
-13.54200E-03,+1.74924621E+00,+468.59252E-03,-27.93391705E+00
-13.52900E-03,+1.74924621E+00,-33.92004E-03,-26.67763561E+00
-13.51600E-03,+1.74422108E+00,+368.09001E-03,-27.93391705E+00
-13.50300E-03,+1.74924621E+00,+167.08498E-03,-27.18014818E+00
-13.49000E-03,+1.74924621E+00,-938.44266E-03,-27.93391705E+00
-13.47700E-03,+1.72412058E+00,+468.59252E-03,-27.93391705E+00
-13.46400E-03,+1.74924621E+00,-234.92507E-03,-27.68266076E+00
-13.45100E-03,+1.70904521E+00,+468.59252E-03,-27.93391705E+00
-13.43800E-03,+1.74924621E+00,-234.92507E-03,-27.68266076E+00
-13.42500E-03,+1.68391958E+00,+468.59252E-03,-27.93391705E+00
-13.41200E-03,+1.74924621E+00,-234.92507E-03,-27.68266076E+00
-13.39900E-03,+1.74924621E+00,+167.08498E-03,-27.93391705E+00
-13.38600E-03,+1.71407033E+00,+468.59252E-03,-29.69271106E+00
-13.37300E-03,+1.70904521E+00,+468.59252E-03,-27.93391705E+00
-13.36000E-03,+1.70904521E+00,+468.59252E-03,-28.18517333E+00
-13.34700E-03,+1.72412058E+00,+971.10509E-03,-29.19019848E+00
-13.33400E-03,+1.71407033E+00,-134.42256E-03,-28.18517333E+00
-13.32100E-03,+1.72412058E+00,+468.59252E-03,-27.93391705E+00
-13.30800E-03,+1.70904521E+00,+468.59252E-03,-27.93391705E+00
-13.29500E-03,+1.69396983E+00,-335.42758E-03,-28.68768591E+00
-13.28200E-03,+1.71407033E+00,+1.17211012E+00,-27.93391705E+00
-13.26900E-03,+1.66884420E+00,-335.42758E-03,-27.93391705E+00
-13.25600E-03,+1.67386933E+00,+1.17211012E+00,-29.69271106E+00
-13.24300E-03,+1.66884420E+00,+669.59755E-03,-29.19019848E+00
-13.23000E-03,+1.66884420E+00,+468.59252E-03,-29.69271106E+00
-13.21700E-03,+1.68391958E+00,+167.08498E-03,-27.93391705E+00
-13.20400E-03,+1.66884420E+00,+468.59252E-03,-27.93391705E+00
-13.19100E-03,+1.66884420E+00,+770.10006E-03,-27.93391705E+00
-13.17800E-03,+1.63366832E+00,+468.59252E-03,-27.93391705E+00
-13.16500E-03,+1.65376882E+00,+669.59755E-03,-29.19019848E+00
