x-axis,1,2,3
second,Volt,Volt,Volt
+4.60000E-03,+336.03082E-03,+20.99855545E+00,-37.32288E-03
+4.61400E-03,+336.30504E-03,+21.04880671E+00,-65.17645E-03
+4.62800E-03,+335.98631E-03,+21.11887134E+00,-57.13626E-03
+4.64200E-03,+336.58214E-03,+21.19956048E+00,+12.92838E-03
+4.65600E-03,+337.12486E-03,+21.24981174E+00,-37.32288E-03
+4.67000E-03,+337.07891E-03,+21.30006299E+00,-41.63007E-03
+4.68400E-03,+336.70275E-03,+21.33796687E+00,-11.76638E-03
+4.69800E-03,+337.64603E-03,+21.40056551E+00,-67.18656E-03
+4.71200E-03,+338.25766E-03,+21.45081676E+00,+12.92838E-03
+4.72600E-03,+337.53261E-03,+21.51485132E+00,-23.53957E-03
+4.74000E-03,+337.67475E-03,+21.55706239E+00,-43.06599E-03
+4.75400E-03,+338.63957E-03,+21.65182179E+00,-44.21410E-03
+4.76800E-03,+338.65106E-03,+21.70207305E+00,+12.92838E-03
+4.78200E-03,+338.14855E-03,+21.75232430E+00,+31.30583E-03
+4.79600E-03,+338.77023E-03,+21.80257556E+00,-37.32288E-03
+4.81000E-03,+339.65609E-03,+21.90307807E+00,-71.78071E-03
+4.82400E-03,+338.72859E-03,+21.95332933E+00,+12.92838E-03
+4.83800E-03,+338.90662E-03,+22.00358059E+00,+12.92838E-03
+4.85200E-03,+339.86571E-03,+22.05383184E+00,-79.24699E-03
+4.86600E-03,+339.57425E-03,+22.10408310E+00,-37.32288E-03
+4.88000E-03,+339.16075E-03,+22.18017808E+00,-35.88668E-03
+4.89400E-03,+339.56707E-03,+22.22238915E+00,+48.53546E-03
+4.90800E-03,+339.95616E-03,+22.29532478E+00,+12.92838E-03
+4.92200E-03,+339.65609E-03,+22.35533938E+00,+12.92838E-03
+4.93600E-03,+339.18516E-03,+22.40559064E+00,-31.00585E-03
+4.95000E-03,+339.40483E-03,+22.45584190E+00,+48.82241E-03
+4.96400E-03,+339.51682E-03,+22.50609315E+00,+63.17963E-03
+4.97800E-03,+339.35171E-03,+22.55634441E+00,+12.92838E-03
+4.99200E-03,+338.90232E-03,+22.60659567E+00,+24.70184E-03
+5.00600E-03,+339.38616E-03,+22.66058020E+00,+63.17963E-03
+5.02000E-03,+339.36176E-03,+22.75304252E+00,+67.48655E-03
+5.03400E-03,+339.03010E-03,+22.80760069E+00,+113.43089E-03
+5.04800E-03,+339.10619E-03,+22.85785195E+00,+63.17963E-03
+5.06200E-03,+339.57998E-03,+22.93653069E+00,+12.92838E-03
+5.07600E-03,+338.53764E-03,+22.97213804E+00,+63.17963E-03
+5.09000E-03,+338.65106E-03,+23.01434911E+00,+63.17963E-03
+5.10400E-03,+338.89083E-03,+23.10681143E+00,+12.92838E-03
+5.11800E-03,+338.65106E-03,+23.10910823E+00,+63.17963E-03
+5.13200E-03,+337.89729E-03,+23.19123357E+00,+63.17963E-03
+5.14600E-03,+338.04230E-03,+23.25986200E+00,+36.76227E-03
+5.16000E-03,+338.06958E-03,+23.31011326E+00,+12.92838E-03
+5.17400E-03,+337.47231E-03,+23.36036452E+00,+12.92838E-03
