nm;arb.u
538.88;492.0
539.29;492.0
539.69;492.0
540.10;492.0
540.50;492.0
540.90;492.0
541.31;492.0
541.71;492.0
542.12;492.0
542.52;491.0
542.92;491.0
543.33;492.0
543.73;492.0
544.14;492.0
544.54;492.0
544.94;491.0
545.35;491.0
545.75;492.0
546.15;491.0
546.56;491.0
546.96;490.0
547.36;491.0
547.77;491.0
548.17;492.0
548.57;492.0
548.98;492.0
549.38;492.0
549.78;492.0
550.19;492.0
550.59;492.0
550.99;492.0
551.39;492.0
551.80;490.0
552.20;490.0
552.60;489.0
553.01;489.0
553.41;489.0
553.81;489.0
554.21;489.0
554.62;489.0
555.02;489.0
555.42;489.0
555.82;489.0
556.22;488.0
556.63;488.0
557.03;488.0
557.43;487.0
557.83;487.0
558.23;486.0
558.64;486.0
559.04;486.0
559.44;486.0
559.84;486.0
560.24;484.0
560.64;484.0
561.05;483.0
561.45;481.0
561.85;481.0
562.25;480.0
562.65;479.0
563.05;477.0
563.45;477.0
563.85;477.0
564.26;477.0
564.66;477.0
565.06;476.0
565.46;474.0
565.86;474.0
566.26;474.0
566.66;474.0
567.06;474.0
567.46;474.0
567.86;474.0
568.26;474.0
568.66;474.0
569.06;474.0
569.46;474.0
569.86;474.0
570.26;474.0
570.66;474.0
571.06;474.0
571.46;474.0
571.86;474.0
572.26;474.0
572.66;474.0
573.06;475.0
573.46;477.0
573.86;477.0
574.26;477.0
574.66;479.0
575.06;480.0
575.46;481.0
575.86;483.0
576.26;483.0
576.66;484.0
577.06;486.0
577.46;486.0
577.86;487.0
578.26;489.0
578.66;489.0
579.06;489.0
579.45;490.0
579.85;490.0
580.25;492.0
580.65;492.0
581.05;493.0
581.45;493.0
581.85;493.0
582.25;493.0
582.64;493.0
583.04;493.0
583.44;493.0
583.84;493.0
584.24;493.0
584.64;493.0
585.03;492.0
585.43;492.0
585.83;491.0
586.23;491.0
586.63;491.0
587.03;490.0
587.42;490.0
587.82;490.0
588.22;490.0
588.62;488.0
589.01;488.0
589.41;488.0
589.81;488.0
590.21;486.0
590.60;486.0
591.00;486.0
591.40;484.0
591.80;484.0
592.19;483.0
592.59;483.0
592.99;481.0
593.39;481.0
593.78;480.0
594.18;479.0
594.58;477.0
594.97;477.0
595.37;475.0
595.77;475.0
596.16;474.0
596.56;472.0
596.96;471.0
597.35;470.0
597.75;469.0
598.15;468.0
598.54;466.0
598.94;465.0
599.34;463.0
599.73;463.0
