v	A
3.17096710	0.00284611
3.18288803	0.00243290
3.19480896	0.00166168
3.20672989	0.00108999
3.21865082	0.00131709
3.23057175	0.00151926
3.24249268	0.00180337
3.25441360	0.00294790
3.26633453	0.00320862
3.27825546	0.00355450
3.29017639	0.00470594
3.30209732	0.00473023
3.31401825	0.00472936
3.32593918	0.00541251
3.33786011	0.00464035
3.34978104	0.00405846
3.36170197	0.00454477
3.37362289	0.00379145
3.38554382	0.00322253
3.39746475	0.00303993
3.40938568	0.00181433
3.42130661	0.00135356
3.43322754	0.00128726
3.44514847	0.00082479
3.45706940	0.00057124
3.46899033	0.00069585
3.48091125	0.00094427
3.49283218	0.00135703
3.50475311	0.00143535
3.51667404	0.00114069
3.52859497	0.00153911
3.54051590	0.00150851
3.55243683	0.00109816
3.56435776	0.00103644
3.57627869	0.00105303
3.58819962	0.00142334
3.60012054	0.00245946
3.61204147	0.00313756
3.62396240	0.00617425
3.63588333	0.01141646
3.64780426	0.01290697
3.65972519	0.01218527
3.67164612	0.01067088
3.68356705	0.00557649
3.69548798	0.00167184
3.70740891	0.00178610
3.71932983	0.00173245
3.73125076	0.00242348
3.74317169	0.00279604
3.75509262	0.00226428
3.76701355	0.00192010
3.77893448	0.00163527
3.79085541	0.00143465
3.80277634	0.00138905
3.81469727	0.00125352
3.82661819	0.00115111
3.83853912	0.00145170
3.85046005	0.00156412
3.86238098	0.00117948
3.87430191	0.00119056
3.88622284	0.00123243
3.89814377	0.00108289
3.91006470	0.00175510
3.92198563	0.00153240
3.93390656	0.00148578
3.94582748	0.00114882
3.95774841	0.02049818
3.96966934	0.12468340
3.98159027	0.26682200
3.99351120	0.31662750
4.00543213	0.31815730
4.01735306	0.27891360
4.02927399	0.14218960
4.04119492	0.02929351
4.05311584	0.00343008
4.06503677	0.00112682
4.07695770	0.00029087
4.08887863	0.00046508
4.10079956	0.00101024
4.11272049	0.00173663
4.12464142	0.00212379
4.13656235	0.00177049
4.14848328	0.00152404
4.16040421	0.00089521
4.17232513	0.00031343
4.18424606	0.00036419
4.19616699	0.00075496
4.20808792	0.00143831
4.22000885	0.00224967
4.23192978	0.00241226
4.24385071	0.00219931
4.25577164	0.00275481
4.26769257	0.00264304
4.27961349	0.00229179
4.29153442	0.00245683
4.30345535	0.00242996
4.31537628	0.00459927
4.32729721	0.00761105
4.33921814	0.00814668
4.35113907	0.00849225
4.36306000	0.00858443
4.37498093	0.00605217
4.38690186	0.00430418
4.39882278	0.00344362
4.41074371	0.00180152
4.42266464	0.00107400
4.43458557	0.00082525
4.44650650	0.00049179
4.45842743	0.00096325
4.47034836	0.00151368
4.48226929	0.00167484
4.49419022	0.00174312
4.50611115	0.00152833
4.51803207	0.00125567
4.52995300	0.00146713
4.54187393	0.00134255
4.55379486	0.00095041
4.56571579	0.00065764
4.57763672	0.00071316
4.58955765	0.00128001
4.60147858	0.00221988
4.61339951	0.00266155
4.62532043	0.00613980
4.63724136	0.01123326
4.64916229	0.01252274
4.66108322	0.01202312
4.67300415	0.01008517
4.68492508	0.00469209
4.69684601	0.00039916
4.70876694	0.00171825
4.72068787	0.00195486
4.73260880	0.00230165
4.74452972	0.00262242
4.75645065	0.00226140
4.76837158	0.00208807
4.78029251	0.00153255
4.79221344	0.00028616
4.80413437	0.00043061
4.81605530	0.00046444
4.82797623	0.00008349
4.83989716	0.00116725
4.85181808	0.00188727
4.86373901	0.00227975
4.87565994	0.00271990
4.88758087	0.00262232
4.89950180	0.00196302
4.91142273	0.00160364
4.92334366	0.00073705
4.93526459	0.00092885
4.94718552	0.00206383
4.95910645	0.02387388
4.97102737	0.11994380
4.98294830	0.23417920
4.99486923	0.26684780
5.00679016	0.26675270
5.01871109	0.22444110
5.03063202	0.10484140
5.04255295	0.01903865
5.05447388	0.00209701
5.06639481	0.00096885
5.07831573	0.00135466
5.09023666	0.00150108
5.10215759	0.00173521
5.11407852	0.00195301
5.12599945	0.00220632
5.13792038	0.00214950
5.14984131	0.00201292
5.16176224	0.00166351
5.17368317	0.00124765
5.18560410	0.00109717
5.19752502	0.00096077
5.20944595	0.00139790
5.22136688	0.00210206
5.23328781	0.00234184
5.24520874	0.00268818
5.25712967	0.00347766
5.26905060	0.00342016
5.28097153	0.00317133
5.29289246	0.00274990
5.30481339	0.00079966
5.31673431	0.00398912
5.32865524	0.00862637
5.34057617	0.01021704
5.35249710	0.01111064
5.36441803	0.01042050
5.37633896	0.00670999
5.38825989	0.00482793
5.40018082	0.00399818
5.41210175	0.00261833
5.42402267	0.00185756
5.43594360	0.00145771
5.44786453	0.00144712
5.45978546	0.00179625
5.47170639	0.00168091
5.48362732	0.00139063
5.49554825	0.00174986
5.50746918	0.00189104
5.51939011	0.00180116
5.53131104	0.00178331
5.54323196	0.00134682
5.55515289	0.00098510
5.56707382	0.00143170
5.57899475	0.00211573
5.59091568	0.00311923
5.60283661	0.00433681
5.61475754	0.00442412
5.62667847	0.00562702
5.63859940	0.00808181
5.65052032	0.00815876
5.66244125	0.00799567
5.67436218	0.00702169
5.68628311	0.00366267
5.69820404	0.00229991
5.71012497	0.00279778
5.72204590	0.00248074
5.73396683	0.00273129
5.74588776	0.00270703
5.75780869	0.00208296
5.76972961	0.00166885
5.78165054	0.00098286
5.79357147	0.00047561
5.80549240	0.00068801
5.81741333	0.00082062
5.82933426	0.00104111
5.84125519	0.00156705
5.85317612	0.00168231
5.86509705	0.00149168
5.87701797	0.00181984
5.88893890	0.00172755
5.90085983	0.00126980
5.91278076	0.00114862
5.92470169	0.00124180
5.93662262	0.00253253
5.94854355	0.00422120
5.96046448	0.02408227
5.97238541	0.10605690
5.98430634	0.19141050
5.99622726	0.21142970
6.00814819	0.21064120
6.02006912	0.16931430
6.03199005	0.07233629
6.04391098	0.01179593
6.05583191	0.00150077
6.06775284	0.00134274
6.07967377	0.00212461
6.09159470	0.00233797
6.10351563	0.00237164
6.11543655	0.00240330
6.12735748	0.00202361
6.13927841	0.00097175
6.15119934	0.00031833
6.16312027	0.00018483
6.17504120	0.00034961
6.18696213	0.00047883
6.19888306	0.00074239
6.21080399	0.00101079
6.22272491	0.00139067
6.23464584	0.00128098
6.24656677	0.00132992
6.25848770	0.00170874
6.27040863	0.00158160
6.28232956	0.00154086
6.29425049	0.00198573
6.30617142	0.00181319
6.31809235	0.00618918
6.33001328	0.01097110
6.34193420	0.01221398
6.35385513	0.01262997
6.36577606	0.01030230
6.37769699	0.00489863
6.38961792	0.00301394
6.40153885	0.00252336
6.41345978	0.00147296
6.42538071	0.00086577
6.43730164	0.00083444
6.44922256	0.00107680
6.46114349	0.00166309
6.47306442	0.00195944
6.48498535	0.00205945
6.49690628	0.00212085
6.50882721	0.00160274
6.52074814	0.00106235
6.53266907	0.00086776
6.54459000	0.00059552
6.55651093	0.00003943
6.56843185	0.00090212
6.58035278	0.00136475
6.59227371	0.00223406
6.60419464	0.00348597
6.61611557	0.00367615
6.62803650	0.00428831
6.63995743	0.00493990
6.65187836	0.00420963
6.66379929	0.00456023
6.67572021	0.00509239
6.68764114	0.00432585
6.69956207	0.00442134
6.71148300	0.00422809
6.72340393	0.00302315
6.73532486	0.00285467
6.74724579	0.00263404
6.75916672	0.00184972
6.77108765	0.00152130
6.78300858	0.00110888
6.79492950	0.00080327
6.80685043	0.00098484
6.81877136	0.00110757
6.83069229	0.00158467
6.84261322	0.00244630
6.85453415	0.00269950
6.86645508	0.00274842
6.87837601	0.00259837
6.89029694	0.00171214
6.90221786	0.00090869
6.91413879	0.00051816
6.92605972	0.00045954
6.93798065	0.00188096
6.94990158	0.00351919
6.96182251	0.02127281
6.97374344	0.08524770
6.98566437	0.14324310
6.99758530	0.15436170
7.00950623	0.15289110
7.02142715	0.11682190
7.03334808	0.04569476
7.04526901	0.00706425
7.05718994	0.00211624
7.06911087	0.00217684
7.08103180	0.00240511
7.09295273	0.00213909
7.10487366	0.00172931
7.11679459	0.00157882
7.12871552	0.00146205
7.14063644	0.00130094
7.15255737	0.00143708
7.16447830	0.00143566
7.17639923	0.00146276
7.18832016	0.00132560
7.20024109	0.00088891
7.21216202	0.00126539
7.22408295	0.00216315
7.23600388	0.00242888
7.24792480	0.00233934
7.25984573	0.00197310
7.27176666	0.00132035
7.28368759	0.00218591
7.29560852	0.00370020
7.30752945	0.00411525
7.31945038	0.00758784
7.33137131	0.01166409
7.34329224	0.01297181
7.35521317	0.01369929
7.36713409	0.01098092
7.37905502	0.00524710
7.39097595	0.00247536
7.40289688	0.00162361
7.41481781	0.00104782
7.42673874	0.00123131
7.43865967	0.00143881
7.45058060	0.00140189
7.46250153	0.00171493
7.47442245	0.00150193
7.48634338	0.00111267
7.49826431	0.00090784
7.51018524	0.00052951
7.52210617	0.00054069
7.53402710	0.00063114
7.54594803	0.00062434
7.55786896	0.00142672
7.56978989	0.00246262
7.58171082	0.00286341
7.59363174	0.00341717
7.60555267	0.00374990
7.61747360	0.00333656
7.62939453	0.00312717
