T,I
50.0,58.47
51.4,67.89
51.6,68.89
51.8,69.88
52.0,70.90
52.2,71.73
52.4,72.80
52.6,73.42
52.8,74.33
53.0,75.19
53.2,75.96
53.4,76.67
53.6,77.63
53.8,78.17
54.0,78.79
54.2,79.99
54.4,80.94
54.6,82.20
54.8,83.36
55.0,84.67
