Частота	Канал A
(kГц)	(В)

0.00000000	2.88060600
0.02384186	2.00105400
0.04768372	1.36534600
0.07152557	0.43485060
0.09536743	0.04027508
0.11920929	0.00064505
0.14305115	0.00099398
0.16689301	0.00093626
0.19073486	0.00089036
0.21457672	0.00084410
0.23841858	0.00073546
0.26226044	0.00089559
0.28610229	0.00095187
0.30994415	0.00085702
0.33378601	0.00065510
0.35762787	0.00067438
0.38146973	0.00031647
0.40531158	0.00047629
0.42915344	0.00000610
0.45299530	0.00007006
0.47683716	0.00042643
0.50067902	0.00034237
0.52452087	0.00063625
0.54836273	0.00053815
0.57220459	0.00069959
0.59604645	0.00042035
0.61988831	0.00057521
0.64373016	0.00068153
0.66757202	0.00107646
0.69141388	0.00093390
0.71525574	0.00100386
0.73909760	0.00065554
0.76293945	0.00055734
0.78678131	0.00039608
0.81062317	0.00057939
0.83446503	0.00065625
0.85830688	0.00065021
0.88214874	0.00042316
0.90599060	0.00012527
0.92983246	0.00291763
0.95367432	0.00842749
0.97751617	0.01210184
1.00135803	0.01241287
1.02519989	0.01197022
1.04904175	0.00776005
1.07288361	0.00247683
1.09672546	0.00037232
1.12056732	0.00035401
1.14440918	0.00043173
1.16825104	0.00055411
1.19209290	0.00055999
1.21593475	0.00060711
1.23977661	0.00066833
1.26361847	0.00084354
1.28746033	0.00083100
1.31130219	0.00076064
1.33514404	0.00066447
1.35898590	0.00058096
1.38282776	0.00033474
1.40666962	0.00020247
1.43051147	0.00041312
1.45435333	0.00047994
1.47819519	0.00030076
1.50203705	0.00006671
1.52587891	0.00026008
1.54972076	0.00047283
1.57356262	0.00047725
1.59740448	0.00030781
1.62124634	0.00007800
1.64508820	0.00026704
1.66893005	0.00053738
1.69277191	0.00078603
1.71661377	0.00088282
1.74045563	0.00082431
1.76429749	0.00062138
1.78813934	0.00052949
1.81198120	0.00053922
1.83582306	0.00064787
1.85966492	0.00059686
1.88350677	0.00054720
1.90734863	0.00032856
1.93119049	0.00480680
1.95503235	0.01421892
1.97887421	0.01960538
2.00271606	0.02012130
2.02655792	0.01923046
2.05039978	0.01251377
2.07424164	0.00384899
2.09808350	0.00072642
2.12192535	0.00029926
2.14576721	0.00029028
2.16960907	0.00028401
2.19345093	0.00036766
2.21729279	0.00042608
2.24113464	0.00074438
2.26497650	0.00103863
2.28881836	0.00131991
2.31266022	0.00132027
2.33650208	0.00131412
2.36034393	0.00098510
2.38418579	0.00068658
2.40802765	0.00038405
2.43186951	0.00027424
2.45571136	0.00029804
2.47955322	0.00033851
2.50339508	0.00028588
2.52723694	0.00019885
2.55107880	0.00013316
2.57492065	0.00034536
2.59876251	0.00048429
2.62260437	0.00053870
2.64644623	0.00041270
2.67028809	0.00026045
2.69412994	0.00014091
2.71797180	0.00007466
2.74181366	0.00014621
2.76565552	0.00015106
2.78949738	0.00019479
2.81333923	0.00028650
2.83718109	0.00029543
2.86102295	0.00039639
2.88486481	0.00047705
2.90870667	0.00036208
2.93254852	0.00557724
2.95639038	0.01620521
2.98023224	0.02209400
3.00407410	0.02265448
3.02791595	0.02150528
3.05175781	0.01338502
3.07559967	0.00371875
3.09944153	0.00035111
3.12328339	0.00027322
3.14712524	0.00040568
3.17096710	0.00040253
3.19480896	0.00025162
3.21865082	0.00007679
3.24249268	0.00024412
3.26633453	0.00036584
3.29017639	0.00043061
3.31401825	0.00037847
3.33786011	0.00032847
3.36170197	0.00054321
3.38554382	0.00076149
3.40938568	0.00098035
3.43322754	0.00094664
3.45706940	0.00074684
3.48091125	0.00056659
3.50475311	0.00031725
3.52859497	0.00017180
3.55243683	0.00012512
3.57627869	0.00014193
3.60012054	0.00012190
3.62396240	0.00012697
3.64780426	0.00011393
3.67164612	0.00024291
3.69548798	0.00040875
3.71932983	0.00038356
3.74317169	0.00029392
3.76701355	0.00029484
3.79085541	0.00036003
3.81469727	0.00039269
3.83853912	0.00047918
3.86238098	0.00050311
3.88622284	0.00045943
3.91006470	0.00061543
3.93390656	0.00571707
3.95774841	0.01500569
3.98159027	0.01964417
4.00543213	0.01994199
4.02927399	0.01857226
4.05311584	0.01102318
4.07695770	0.00278172
4.10079956	0.00026570
4.12464142	0.00026954
4.14848328	0.00024106
4.17232513	0.00023098
4.19616699	0.00028820
4.22000885	0.00030910
4.24385071	0.00038670
4.26769257	0.00035883
4.29153442	0.00027059
4.31537628	0.00016804
4.33921814	0.00045230
4.36306000	0.00077777
4.38690186	0.00086349
4.41074371	0.00073623
4.43458557	0.00051411
4.45842743	0.00030415
4.48226929	0.00017441
4.50611115	0.00015619
4.52995300	0.00011602
4.55379486	0.00013192
4.57763672	0.00012514
4.60147858	0.00003721
4.62532043	0.00011899
4.64916229	0.00021093
4.67300415	0.00028376
4.69684601	0.00028662
4.72068787	0.00016172
4.74452972	0.00016720
4.76837158	0.00041079
4.79221344	0.00065557
4.81605530	0.00078153
4.83989716	0.00069284
4.86373901	0.00058377
4.88758087	0.00058045
4.91142273	0.00066717
4.93526459	0.00357251
4.95910645	0.00886449
4.98294830	0.01125473
5.00679016	0.01136913
5.03063202	0.01049038
5.05447388	0.00590067
5.07831573	0.00133102
5.10215759	0.00019613
5.12599945	0.00024410
5.14984131	0.00040442
5.17368317	0.00035929
5.19752502	0.00045579
5.22136688	0.00039630
5.24520874	0.00018448
5.26905060	0.00006884
5.29289246	0.00034551
5.31673431	0.00041414
5.34057617	0.00038956
5.36441803	0.00034687
5.38825989	0.00044611
5.41210175	0.00052846
5.43594360	0.00049917
5.45978546	0.00048630
5.48362732	0.00042472
5.50746918	0.00032924
5.53131104	0.00033400
5.55515289	0.00054530
5.57899475	0.00067677
5.60283661	0.00066907
5.62667847	0.00060535
5.65052032	0.00062341
5.67436218	0.00052551
5.69820404	0.00044101
5.72204590	0.00038851
5.74588776	0.00042168
5.76972961	0.00061631
5.79357147	0.00057204
5.81741333	0.00039953
5.84125519	0.00021361
5.86509705	0.00018247
5.88893890	0.00031367
5.91278076	0.00046372
5.93662262	0.00060997
5.96046448	0.00068017
5.98430634	0.00065523
6.00814819	0.00061418
6.03199005	0.00048038
6.05583191	0.00050153
6.07967377	0.00057316
6.10351563	0.00045382
6.12735748	0.00023768
6.15119934	0.00012235
6.17504120	0.00024666
6.19888306	0.00039207
6.22272491	0.00051938
6.24656677	0.00073600
6.27040863	0.00088529
6.29425049	0.00077499
6.31809235	0.00073737
6.34193420	0.00076159
6.36577606	0.00061764
6.38961792	0.00048491
6.41345978	0.00056175
6.43730164	0.00054794
6.46114349	0.00039886
6.48498535	0.00019892
6.50882721	0.00004769
6.53266907	0.00005883
6.55651093	0.00010126
6.58035278	0.00015735
6.60419464	0.00032195
6.62803650	0.00042057
6.65187836	0.00056656
6.67572021	0.00057785
6.69956207	0.00039363
6.72340393	0.00009259
6.74724579	0.00028315
6.77108765	0.00047748
6.79492950	0.00037457
6.81877136	0.00019194
6.84261322	0.00037383
6.86645508	0.00050787
6.89029694	0.00046267
6.91413879	0.00103976
6.93798065	0.00471646
6.96182251	0.00992392
6.98566437	0.01184449
7.00950623	0.01192859
7.03334808	0.01061254
7.05718994	0.00560384
7.08103180	0.00122747
7.10487366	0.00042107
7.12871552	0.00056599
7.15255737	0.00062292
7.17639923	0.00064552
7.20024109	0.00050745
7.22408295	0.00035248
7.24792480	0.00033913
7.27176666	0.00050698
7.29560852	0.00066099
7.31945038	0.00068314
7.34329224	0.00058288
7.36713409	0.00038935
7.39097595	0.00035441
7.41481781	0.00047377
7.43865967	0.00047178
7.46250153	0.00041325
7.48634338	0.00045967
7.51018524	0.00064656
7.53402710	0.00082627
7.55786896	0.00071074
7.58171082	0.00035996
7.60555267	0.00028812
7.62939453	0.00042910
7.65323639	0.00055831
7.67707825	0.00054594
7.70092010	0.00047889
7.72476196	0.00040934
7.74860382	0.00025725
7.77244568	0.00036140
7.79628754	0.00054411
7.82012939	0.00051168
7.84397125	0.00038627
7.86781311	0.00019028
7.89165497	0.00012597
7.91549683	0.00153799
7.93933868	0.00859042
7.96318054	0.01804157
7.98702240	0.02135973
8.01086426	0.02137875
8.03470612	0.01860762
8.05854797	0.00951078
8.08238983	0.00213448
8.10623169	0.00076959
8.13007355	0.00078371
8.15391541	0.00054737
8.17775726	0.00021008
8.20159912	0.00002716
8.22544098	0.00016876
8.24928284	0.00019838
8.27312469	0.00019214
8.29696655	0.00041920
8.32080841	0.00049430
8.34465027	0.00051793
8.36849213	0.00048197
8.39233398	0.00040798
8.41617584	0.00028777
8.44001770	0.00025184
8.46385956	0.00016017
8.48770142	0.00019873
8.51154327	0.00028372
8.53538513	0.00032383
8.55922699	0.00027923
8.58306885	0.00010902
8.60691071	0.00013424
8.63075256	0.00027163
8.65459442	0.00027521
8.67843628	0.00026519
8.70227814	0.00035650
8.72612000	0.00043228
8.74996185	0.00034251
8.77380371	0.00016772
8.79764557	0.00002792
8.82148743	0.00025025
8.84532928	0.00057319
8.86917114	0.00070304
8.89301300	0.00064098
8.91685486	0.00214338
8.94069672	0.01062418
8.96453857	0.02135730
8.98838043	0.02464515
9.01222229	0.02458759
9.03606415	0.02090481
9.05990601	0.00984972
9.08374786	0.00144730
9.10758972	0.00059842
9.13143158	0.00060999
9.15527344	0.00048033
9.17911530	0.00050013
9.20295715	0.00045295
9.22679901	0.00037150
9.25064087	0.00014700
9.27448273	0.00022124
9.29832458	0.00037630
9.32216644	0.00041780
9.34600830	0.00038547
9.36985016	0.00025070
9.39369202	0.00023039
9.41753387	0.00023834
9.44137573	0.00030653
9.46521759	0.00034713
9.48905945	0.00031810
9.51290131	0.00029538
9.53674316	0.00019144
9.56058502	0.00027098
9.58442688	0.00029657
9.60826874	0.00022184
9.63211060	0.00007579
9.65595245	0.00017333
9.67979431	0.00023691
9.70363617	0.00015793
9.72747803	0.00017225
9.75131989	0.00025195
9.77516174	0.00032735
9.79900360	0.00023840
9.82284546	0.00013745
9.84668732	0.00009461
9.87052917	0.00004989
9.89437103	0.00015393
9.91821289	0.00173765
9.94205475	0.00970511
9.96589661	0.01910422
9.98973846	0.02183114
10.01358032	0.02188932
10.03742218	0.01837611
10.06126404	0.00850746
10.08510590	0.00149301
10.10894775	0.00032375
10.13278961	0.00029082
10.15663147	0.00042758
10.18047333	0.00062955
10.20431519	0.00066848
10.22815704	0.00057284
10.25199890	0.00049360
10.27584076	0.00051287
10.29968262	0.00043586
10.32352448	0.00040501
10.34736633	0.00046101
10.37120819	0.00042253
10.39505005	0.00039770
10.41889191	0.00029034
10.44273376	0.00029654
10.46657562	0.00046442
10.49041748	0.00044159
10.51425934	0.00043298
10.53810120	0.00044179
10.56194305	0.00032314
10.58578491	0.00016914
10.60962677	0.00021364
10.63346863	0.00045465
10.65731049	0.00057939
10.68115234	0.00035210
10.70499420	0.00006951
10.72883606	0.00039225
10.75267792	0.00058965
10.77651978	0.00060918
10.80036163	0.00045072
10.82420349	0.00032220
10.84804535	0.00033067
10.87188721	0.00034812
10.89572906	0.00018329
10.91957092	0.00111289
10.94341278	0.00595988
10.96725464	0.01136561
10.99109650	0.01272137
11.01493835	0.01268727
11.03878021	0.01044651
11.06262207	0.00464274
11.08646393	0.00078618
11.11030579	0.00017928
11.13414764	0.00022180
11.15798950	0.00034041
11.18183136	0.00050480
11.20567322	0.00059971
11.22951508	0.00062884
11.25335693	0.00061092
11.27719879	0.00061879
11.30104065	0.00063138
11.32488251	0.00070406
11.34872437	0.00067685
11.37256622	0.00049135
11.39640808	0.00031141
11.42024994	0.00015614
11.44409180	0.00006848
11.46793365	0.00007703
11.49177551	0.00021836
11.51561737	0.00025603
11.53945923	0.00020687
11.56330109	0.00015405
11.58714294	0.00012396
11.61098480	0.00004084
11.63482666	0.00019550
11.65866852	0.00033013
11.68251038	0.00044600
11.70635223	0.00051789
11.73019409	0.00052689
11.75403595	0.00046783
11.77787781	0.00052078
11.80171967	0.00060360
11.82556152	0.00062438
11.84940338	0.00053264
11.87324524	0.00034344
11.89708710	0.00023786
11.92092896	0.00029195
11.94477081	0.00029716
11.96861267	0.00024835
11.99245453	0.00007433
12.01629639	0.00007788
12.04013824	0.00014477
12.06398010	0.00011623
12.08782196	0.00005503
12.11166382	0.00007801
12.13550568	0.00016119
12.15934753	0.00022310
12.18318939	0.00034691
12.20703125	0.00042721
12.23087311	0.00042608
12.25471497	0.00063357
12.27855682	0.00090029
12.30239868	0.00101624
12.32624054	0.00110095
12.35008240	0.00107286
12.37392426	0.00076386
12.39776611	0.00046586
12.42160797	0.00023283
12.44544983	0.00029236
12.46929169	0.00041956
12.49313354	0.00035979
12.51697540	0.00029286
12.54081726	0.00020486
12.56465912	0.00007831
12.58850098	0.00028716
12.61234283	0.00050558
12.63618469	0.00064828
12.66002655	0.00069982
12.68386841	0.00063874
12.70771027	0.00066237
12.73155212	0.00061744
12.75539398	0.00047255
12.77923584	0.00035805
12.80307770	0.00038814
12.82691956	0.00027074
12.85076141	0.00014282
12.87460327	0.00025284
12.89844513	0.00029769
12.92228699	0.00169489
12.94612885	0.00729833
12.96997070	0.01270796
12.99381256	0.01378439
13.01765442	0.01365086
13.04149628	0.01057954
13.06533813	0.00415788
13.08917999	0.00049441
13.11302185	0.00020585
13.13686371	0.00025685
13.16070557	0.00029353
13.18454742	0.00021151
13.20838928	0.00015312
13.23223114	0.00013646
13.25607300	0.00011886
13.27991486	0.00028184
13.30375671	0.00037118
13.32759857	0.00050126
13.35144043	0.00053957
13.37528229	0.00034711
13.39912415	0.00020931
13.42296600	0.00007863
13.44680786	0.00024356
13.47064972	0.00034532
13.49449158	0.00042079
13.51833344	0.00045929
13.54217529	0.00035035
13.56601715	0.00023659
13.58985901	0.00020211
13.61370087	0.00020275
13.63754272	0.00025700
13.66138458	0.00038246
13.68522644	0.00061562
13.70906830	0.00079314
13.73291016	0.00074088
13.75675201	0.00055898
13.78059387	0.00031488
13.80443573	0.00015631
13.82827759	0.00024388
