t (s),V (mV)
0,23.1252
1.022,23.0528
2.022,22.9836
3.022,22.9147
4.022,22.8447
5.022,22.7779
6.022,22.7092
7.023,22.6411
8.022,22.5752
9.022,22.5083
10.022,22.4406
11.022,22.3734
12.022,22.3053
13.022,22.2407
14.022,22.1751
15.022,22.1083
16.022,22.0425
17.022,21.9782
18.022,21.9123
19.022,21.8491
20.022,21.7849
21.022,21.7189
22.022,21.6554
23.022,21.5906
24.022,21.5268
25.022,21.4625
26.022,21.4004
27.022,21.3349
28.022,21.2717
29.022,21.2091
30.022,21.145
31.023,21.0784
32.022,21.0176
33.022,20.9571
34.022,20.895
35.022,20.8319
36.022,20.7682
37.022,20.7071
38.022,20.645
39.022,20.5833
40.022,20.522
41.022,20.4616
42.022,20.4002
43.022,20.3399
44.022,20.2796
45.022,20.2184
46.022,20.1591
47.022,20.0987
48.022,20.0395
49.022,19.9793
50.022,19.9186
51.022,19.8602
52.022,19.8013
53.022,19.7414
54.022,19.6832
55.022,19.624
56.022,19.5657
57.022,19.508
58.022,19.4503
59.023,19.3919
60.022,19.3353
61.022,19.2776
62.022,19.2205
63.022,19.164
64.022,19.107
65.022,19.0506
66.022,18.9943
67.022,18.938
68.023,18.8814
69.022,18.8253
70.022,18.7689
71.022,18.7134
72.022,18.6582
73.022,18.6036
74.022,18.5484
75.022,18.493
76.022,18.4388
77.022,18.3839
78.022,18.3302
79.022,18.2752
80.022,18.2226
81.022,18.1679
82.022,18.1149
83.022,18.0606
84.022,18.0073
85.022,17.9546
86.023,17.8999
87.022,17.8479
88.022,17.7945
89.022,17.7433
90.022,17.691
91.022,17.6373
92.022,17.5858
93.022,17.5332
94.022,17.4818
95.022,17.43
96.022,17.3783
97.022,17.3276
98.022,17.275
99.022,17.2249
100.022,17.1732
101.022,17.1221
102.022,17.0713
103.022,17.0227
104.022,16.9723
105.022,16.9196
106.022,16.8713
107.022,16.821
108.022,16.772
109.022,16.7219
110.022,16.672
111.022,16.6222
112.022,16.5716
113.022,16.523
114.022,16.4722
115.022,16.4244
116.023,16.3744
117.022,16.3272
118.022,16.279
119.022,16.2296
120.022,16.18
121.022,16.133
122.023,16.0848
123.022,16.0369
124.022,15.9898
125.022,15.942
126.022,15.8951
127.023,15.8474
128.022,15.8004
129.022,15.7533
130.022,15.7073
131.022,15.6611
132.022,15.6144
133.022,15.5681
134.022,15.5216
135.022,15.4748
136.022,15.4286
137.022,15.383
138.022,15.3366
139.022,15.2925
140.022,15.247
141.022,15.2017
142.022,15.1569
143.022,15.1111
144.022,15.0656
145.022,15.0207
146.022,14.9768
147.022,14.9323
148.023,14.8879
149.022,14.843
150.022,14.7992
151.022,14.7551
152.022,14.7109
153.022,14.6681
154.022,14.624
155.023,14.5807
156.022,14.538
157.022,14.4948
158.022,14.4513
159.022,14.4085
160.023,14.3662
161.022,14.3236
162.022,14.281
163.022,14.239
164.023,14.1969
165.022,14.155
166.022,14.1136
167.022,14.0719
168.022,14.0312
169.022,13.9908
170.023,13.9485
171.022,13.9092
172.022,13.8691
173.022,13.8283
174.022,13.7901
175.023,13.747
176.022,13.7081
177.022,13.6678
178.022,13.6273
179.022,13.587
180.023,13.5473
181.022,13.5068
182.022,13.4676
183.022,13.4274
184.022,13.3886
185.022,13.3486
186.022,13.3091
187.022,13.2692
188.023,13.2305
189.022,13.1912
190.022,13.149
191.022,13.1107
192.022,13.0704
193.022,13.0314
194.022,12.9918
195.022,12.9519
196.022,12.9132
197.022,12.8744
198.022,12.8363
199.022,12.7987
200.022,12.7604
201.023,12.7229
202.022,12.6851
203.022,12.6484
204.022,12.6105
205.022,12.5735
206.023,12.5358
207.022,12.4991
208.023,12.4619
209.022,12.425
210.023,12.3882
211.022,12.352
212.023,12.3162
213.022,12.2799
214.022,12.2452
215.022,12.2092
216.022,12.1745
217.022,12.1387
218.022,12.1042
219.023,12.0683
220.022,12.0351
221.023,11.9987
222.023,11.9631
223.022,11.9292
224.022,11.8927
225.022,11.8574
226.023,11.8225
227.022,11.7875
228.023,11.7522
229.022,11.7169
230.022,11.6821
231.022,11.6476
232.022,11.6133
233.023,11.5795
234.022,11.5443
235.022,11.509
236.022,11.4751
237.022,11.4403
238.023,11.4059
239.022,11.3707
240.023,11.3367
241.022,11.3027
242.022,11.2668
243.022,11.2335
244.023,11.2018
245.022,11.1668
246.023,11.1338
247.022,11.1002
248.022,11.0663
249.022,11.0334
250.022,10.9994
251.022,10.9666
252.022,10.9335
253.022,10.9026
254.022,10.8698
255.022,10.8373
256.022,10.8045
257.022,10.773
258.022,10.7409
259.022,10.7083
260.022,10.6765
261.023,10.645
262.022,10.6139
263.021,10.5822
264.021,10.551
265.021,10.5198
266.021,10.4891
267.021,10.4569
268.021,10.4262
269.021,10.3955
270.021,10.364
271.021,10.3329
272.021,10.3029
273.021,10.2716
274.021,10.2416
275.021,10.2119
276.021,10.1808
277.021,10.1508
278.021,10.1206
279.021,10.0902
280.021,10.0612
281.021,10.0307
282.021,10.0008
283.022,9.971
284.022,9.9413
