t (s),V (mV)
312.995,14.1176
313.995,14.1084
314.995,14.0997
315.995,14.0916
316.995,14.0836
317.995,14.0754
318.995,14.0669
319.995,14.0593
320.995,14.0506
321.995,14.0431
322.995,14.0348
323.995,14.0267
324.995,14.019
325.995,14.0112
326.995,14.0034
327.995,13.9961
328.995,13.988
329.995,13.9791
330.995,13.9709
331.995,13.9638
332.995,13.9553
333.995,13.9471
334.995,13.9391
335.995,13.9307
336.995,13.9234
337.995,13.9157
338.995,13.9065
339.995,13.8985
340.995,13.8914
341.995,13.8832
342.995,13.8757
343.995,13.8682
344.996,13.8598
345.995,13.8518
346.995,13.8444
347.995,13.836
348.995,13.8281
349.995,13.8208
350.995,13.8127
351.995,13.8058
352.995,13.7982
353.995,13.7914
354.995,13.7834
355.995,13.7756
356.995,13.7673
357.995,13.7605
358.995,13.752
359.995,13.7452
360.995,13.7365
361.995,13.7297
362.995,13.7254
363.995,13.7169
364.995,13.7076
365.995,13.6994
366.995,13.6927
367.995,13.6843
368.996,13.6764
369.995,13.6698
370.995,13.6622
371.996,13.6533
372.996,13.6462
373.995,13.6381
374.995,13.6299
375.996,13.6232
376.995,13.6142
377.995,13.6075
378.995,13.5984
379.995,13.5908
380.995,13.5824
381.995,13.5731
382.995,13.566
383.995,13.5582
384.995,13.5479
385.996,13.5413
386.995,13.5334
387.995,13.5254
388.995,13.5167
389.995,13.5093
390.995,13.5009
391.995,13.4935
392.995,13.4855
393.995,13.478
394.995,13.4699
395.995,13.462
396.995,13.4541
397.995,13.4461
398.995,13.4377
399.996,13.4306
400.995,13.4237
401.995,13.4157
402.995,13.4076
403.995,13.4004
404.995,13.3931
405.995,13.3862
406.996,13.3803
407.995,13.3724
408.995,13.3666
409.995,13.3589
410.995,13.3517
411.995,13.3441
412.995,13.3384
413.995,13.3301
414.995,13.3232
415.995,13.3159
416.995,13.3085
417.995,13.3001
418.995,13.2921
419.995,13.2854
420.995,13.2778
421.996,13.2707
422.995,13.2622
423.995,13.255
424.995,13.2476
425.995,13.2396
426.995,13.2324
427.995,13.2263
428.995,13.2191
429.995,13.2097
430.995,13.2028
431.995,13.1949
432.995,13.1864
433.995,13.1784
434.995,13.1716
435.995,13.1625
436.995,13.1544
437.995,13.1479
438.995,13.1405
439.995,13.1313
440.995,13.1236
441.995,13.115
442.995,13.1067
443.995,13.0997
444.995,13.0918
445.995,13.0832
446.995,13.0761
447.995,13.0674
448.995,13.0605
449.995,13.0529
450.996,13.0449
451.995,13.0375
452.995,13.0289
453.995,13.0226
454.995,13.0148
455.995,13.0077
456.995,13.0003
457.995,12.9924
458.995,12.9854
459.995,12.9772
460.995,12.9697
461.996,12.9625
462.995,12.9548
463.995,12.9484
464.995,12.9411
465.995,12.9338
466.995,12.9272
467.995,12.9198
468.996,12.9114
469.996,12.9047
470.995,12.8982
471.995,12.8919
472.995,12.8857
473.995,12.8784
474.995,12.8708
475.995,12.8651
476.995,12.8574
477.996,12.8497
478.995,12.8428
479.995,12.8359
480.996,12.8285
481.995,12.8225
482.995,12.8162
483.995,12.8091
484.995,12.8011
485.995,12.7939
486.996,12.7849
487.995,12.7788
488.995,12.7716
489.995,12.7642
490.995,12.7579
491.995,12.7495
492.995,12.743
493.995,12.7364
494.995,12.7297
495.995,12.7225
496.996,12.7134
497.995,12.7069
498.995,12.7004
499.995,12.6923
500.996,12.6843
501.995,12.679
502.995,12.6704
503.995,12.6624
504.995,12.6559
505.995,12.6482
506.995,12.6397
507.995,12.6324
508.995,12.6263
509.995,12.6178
510.995,12.6104
511.995,12.6022
512.995,12.5946
513.995,12.5867
514.995,12.5787
515.995,12.5704
516.995,12.5619
517.995,12.5552
518.995,12.5472
519.995,12.5397
520.995,12.5318
521.995,12.523
522.995,12.5158
523.995,12.508
524.995,12.4999
525.995,12.4921
526.996,12.4839
527.995,12.4752
528.995,12.4678
529.995,12.46
530.995,12.4524
531.995,12.4451
532.995,12.4369
533.995,12.4294
534.996,12.4217
535.996,12.4133
536.995,12.4069
537.995,12.3995
538.995,12.3936
539.996,12.387
540.995,12.3794
541.995,12.373
542.995,12.366
543.995,12.3594
544.995,12.3524
545.995,12.3455
546.995,12.3384
547.995,12.3325
548.995,12.325
549.995,12.3194
550.995,12.311
551.995,12.3044
552.996,12.2978
553.996,12.2909
554.995,12.2847
555.995,12.2772
556.995,12.2697
557.995,12.2634
558.995,12.256
559.996,12.2497
560.995,12.244
561.996,12.2375
562.995,12.2304
563.995,12.2236
564.995,12.2168
565.995,12.2072
566.995,12.1868
567.995,12.1893
568.995,12.1887
569.995,12.1846
570.995,12.1789
571.995,12.1744
572.995,12.1686
573.995,12.1617
574.995,12.1552
575.995,12.1484
576.995,12.1428
577.995,12.1361
578.996,12.1295
579.996,12.1215
580.995,12.1131
581.995,12.1056
582.995,12.0977
583.995,12.0898
584.995,12.0816
585.995,12.0739
586.995,12.0674
587.995,12.0584
588.995,12.0527
589.996,12.0473
590.995,12.0401
591.996,12.0331
592.995,12.0267
593.995,12.0197
594.995,12.0137
595.995,12.0052
596.995,11.9981
597.995,11.9928
598.995,11.9878
599.995,11.9816
600.995,11.9749
601.995,11.9707
602.995,11.9636
603.996,11.958
604.995,11.9513
605.995,11.9439
606.995,11.9372
607.995,11.9302
608.995,11.924
609.996,11.9172
610.995,11.9099
611.996,11.9031
612.995,11.8965
613.996,11.8899
614.995,11.8826
615.995,11.8745
616.995,11.8664
617.995,11.8602
618.995,11.8523
619.995,11.8458
620.995,11.8372
621.995,11.8302
622.995,11.8241
623.995,11.8156
624.995,11.8089
625.995,11.8
626.995,11.7922
627.995,11.7858
628.995,11.7783
629.995,11.7719
630.995,11.7645
631.995,11.7583
632.995,11.7505
633.996,11.7442
634.995,11.7381
635.995,11.7312
636.995,11.7236
637.995,11.7168
638.996,11.7106
639.995,11.7042
640.995,11.697
641.995,11.6897
642.995,11.6847
643.996,11.6771
644.995,11.6713
645.995,11.6654
646.996,11.6579
647.995,11.6521
648.995,11.6455
649.995,11.6385
650.995,11.6327
651.995,11.626
652.995,11.619
653.995,11.6126
654.995,11.6068
655.995,11.5997
656.995,11.5931
657.995,11.588
658.995,11.5808
659.996,11.5741
660.996,11.567
661.995,11.5631
662.995,11.5573
663.995,11.5506
664.995,11.5439
665.995,11.5373
666.996,11.5314
667.995,11.5263
668.995,11.5195
669.995,11.5129
670.995,11.5061
671.996,11.498
672.995,11.4937
673.995,11.4862
674.995,11.4789
675.995,11.4741
676.995,11.4659
677.996,11.4585
678.995,11.4531
679.995,11.4454
680.996,11.4371
681.995,11.4312
682.995,11.4239
683.995,11.4185
684.995,11.4106
685.996,11.4026
686.995,11.3981
687.995,11.3908
688.995,11.3837
689.996,11.3775
690.995,11.3716
691.995,11.3644
692.995,11.3574
693.995,11.3525
694.995,11.3457
695.995,11.3387
696.995,11.3316
697.995,11.3257
698.996,11.3184
699.995,11.3123
700.995,11.3043
701.995,11.2976
702.995,11.2907
703.995,11.284
704.996,11.278
705.995,11.2709
706.995,11.2641
707.996,11.2578
708.995,11.252
709.995,11.2459
710.995,11.2401
711.996,11.2335
712.995,11.2272
713.995,11.2215
714.996,11.2157
715.995,11.2089
716.995,11.202
717.995,11.1969
718.995,11.1912
719.996,11.1857
720.995,11.178
721.995,11.1731
722.995,11.1671
723.995,11.1605
724.995,11.1545
725.995,11.1499
726.995,11.1442
727.996,11.1378
728.996,11.1326
729.995,11.1241
730.995,11.1186
731.995,11.1124
732.995,11.1067
733.995,11.0999
734.996,11.095
735.995,11.0862
736.995,11.0812
737.995,11.0757
738.995,11.0702
739.996,11.0647
740.995,11.0565
741.995,11.0498
742.995,11.0451
743.995,11.0386
744.996,11.032
745.995,11.0263
746.995,11.0213
747.995,11.0158
748.995,11.0088
749.995,11.0029
750.995,10.9971
751.995,10.9905
752.995,10.9846
753.995,10.9788
754.995,10.9728
755.995,10.9668
756.995,10.9607
757.995,10.9535
758.995,10.9479
759.995,10.9415
760.995,10.9356
761.995,10.9293
762.996,10.9237
763.996,10.9166
764.995,10.9103
765.995,10.9045
766.995,10.8992
767.995,10.8941
768.995,10.8868
769.995,10.882
770.996,10.8752
771.995,10.8688
772.995,10.8631
773.995,10.8574
774.996,10.8504
775.995,10.8439
776.995,10.8377
777.995,10.831
778.995,10.8261
779.995,10.821
780.995,10.8155
781.995,10.8079
782.995,10.8032
783.995,10.7962
784.995,10.7913
785.995,10.7836
786.995,10.7778
787.995,10.7717
788.995,10.7658
789.996,10.7588
790.996,10.7525
791.995,10.7462
792.995,10.739
793.995,10.7321
794.995,10.7275
795.995,10.7205
796.995,10.7139
797.996,10.7074
798.995,10.7017
799.995,10.6946
800.995,10.6861
801.995,10.6797
