Time;Sec;Object Name;Status;Value
9:44:54;47;TIC Turbo Power;;6.5
9:44:55;48;TIC Gauge 1;11;100000
9:44:55;48;TIC Gauge 2;5;9900000000
9:44:55;48;TIC Gauge 3;5;9900000000
9:44:56;49;TIC Turbo Speed;;1.6
9:44:57;50;TIC Turbo Power;;6.1
9:44:57;50;TIC Gauge 1;11;100000
9:44:57;50;TIC Gauge 2;5;9900000000
9:44:57;50;TIC Gauge 3;5;9900000000
9:44:59;52;TIC Gauge 3;5;9900000000
9:44:59;52;TIC Turbo Speed;;1.6
9:44:59;52;TIC Turbo Power;;7.5
9:44:59;52;TIC Gauge 1;11;100000
9:44:59;52;TIC Gauge 2;5;9900000000
9:45:01;54;TIC Gauge 1;11;100000
9:45:01;54;TIC Turbo Speed;;1.6
9:45:01;54;TIC Turbo Power;;6.5
9:45:01;54;TIC Gauge 2;5;9900000000
9:45:01;54;TIC Gauge 3;5;9900000000
9:45:03;56;TIC Turbo Speed;;1.6
9:45:03;56;TIC Turbo Power;;7.5
9:45:03;56;TIC Gauge 1;11;100000
9:45:03;56;TIC Gauge 2;5;9900000000
9:45:03;56;TIC Gauge 3;5;9900000000
9:45:05;58;TIC Turbo Power;;8
9:45:05;58;TIC Turbo Speed;;1.6
9:45:05;58;TIC Gauge 1;11;100000
9:45:05;58;TIC Gauge 2;5;9900000000
9:45:05;58;TIC Gauge 3;5;9900000000
9:45:07;60;TIC Turbo Power;;6.1
9:45:07;60;TIC Turbo Speed;;1.6
9:45:07;60;TIC Gauge 1;11;100000
9:45:07;60;TIC Gauge 2;5;9900000000
9:45:07;60;TIC Gauge 3;5;9900000000
9:45:09;62;TIC Gauge 2;5;9900000000
9:45:09;62;TIC Turbo Speed;;1.6
9:45:09;62;TIC Turbo Power;;6.1
9:45:09;62;TIC Gauge 3;5;9900000000
9:45:09;62;TIC Gauge 1;11;100000
9:45:11;64;TIC Turbo Speed;;1.6
9:45:11;64;TIC Turbo Power;;6.1
9:45:11;64;TIC Gauge 1;11;100000
9:45:11;64;TIC Gauge 2;5;9900000000
9:45:11;64;TIC Gauge 3;5;9900000000
9:45:13;66;TIC Turbo Power;;8.2
9:45:13;66;TIC Turbo Speed;;1.6
9:45:13;66;TIC Gauge 1;11;100000
9:45:13;66;TIC Gauge 2;5;9900000000
9:45:13;66;TIC Gauge 3;5;9900000000
9:45:15;68;TIC Turbo Speed;;1.6
9:45:15;68;TIC Turbo Power;;8.4
9:45:15;68;TIC Gauge 1;11;100000
9:45:15;68;TIC Gauge 2;5;9900000000
9:45:15;68;TIC Gauge 3;5;9900000000
9:45:17;70;TIC Turbo Speed;;1.6
9:45:17;70;TIC Turbo Power;;5.4
9:45:17;70;TIC Gauge 1;11;100000
9:45:17;70;TIC Gauge 2;5;9900000000
9:45:17;70;TIC Gauge 3;5;9900000000
9:45:19;72;TIC Turbo Speed;;1.6
9:45:19;72;TIC Turbo Power;;8
9:45:19;72;TIC Gauge 1;11;100000
9:45:19;72;TIC Gauge 2;5;9900000000
9:45:19;72;TIC Gauge 3;5;9900000000
9:45:21;74;TIC Turbo Speed;;1.6
9:45:21;74;TIC Turbo Power;;6.1
9:45:21;74;TIC Gauge 1;11;100000
9:45:21;74;TIC Gauge 2;5;9900000000
9:45:21;74;TIC Gauge 3;5;9900000000
9:45:23;76;TIC Turbo Speed;;1.6
