condA,rel_error,success
31.640235204939554,6.575622822423851e-14,True
7.6010243697857085,2.065367366153624e-16,True
1.9451059517307963,2.580155263392462e-18,True
12.23442795211509,4.502502694848555e-16,True
517.2712000493984,,False
10.692484221803186,7.492019015375114e-16,True
8.17185305541296,5.61237373466903e-16,True
26.700319597235175,1.4754234467534145e-13,True
281.17085733880407,,False
249.0163571974058,,False
735.7105749262226,,False
221.68594304400614,,False
8.465693157779182,1.5968105309637045e-17,True
4.948223913254844,3.4705525908136686e-17,True
4338.542954225336,,False
6.421449027323778,1.5433802532020053e-17,True
100.51604077908476,,False
3005.5196672788425,,False
71.71304169202024,,False
29.831029256499118,1.8530715542514333e-13,True
470.20235035025655,,False
69.26062392165656,2.958676440708185e-13,True
174.97125028998747,,False
4.62855233762276,6.049018874166695e-17,True
5.139054094936323,4.393978085134824e-16,True
10.592331579130533,3.141789615038035e-16,True
100.96776461663357,,False
7.113153907112522,2.4349635830303947e-16,True
4.43781867451354,2.1153967416772487e-16,True
70.6853427515534,6.99674179544854e-12,True
9.45929872438167,1.0536596209137067e-15,True
33.56885462456779,1.2919449938784197e-13,True
30.861202634175267,6.626107055298822e-14,True
187.40571235753055,,False
370.90300267156755,,False
360.9087179189014,,False
65.66645252472267,2.054264274604975e-12,True
21.206861596968594,4.2653594797354615e-15,True
93.08054718622803,4.0537418195825225e-11,True
20.37374791480761,1.8623079579447704e-14,True
9694.958722738893,,False
142.61045198196047,,False
19.96757004317176,1.655027906304608e-14,True
5.022012785129,9.827182355684498e-17,True
114.49736231710978,1.6775866714762011e-12,True
361.3241594605611,,False
1115.254275557998,,False
35.098216051316555,1.674584379880427e-14,True
14.32539382785558,1.1007748365375204e-14,True
1022.6594402528316,,False
92.42709608494783,,False
5.4011094816514005,9.759143571113772e-17,True
83.5371981891901,8.905643076029676e-12,True
23.253097496711018,1.2800983450234056e-14,True
99.27403144848432,,False
223.5239911588447,,False
81.48883698368931,2.2171778926321994e-13,True
10.975209882718524,2.5959464771757543e-15,True
77.12477866615833,2.9021823786153016e-11,True
4.863085194364755,6.462843712143286e-17,True
6.181021641013107,6.916378140740369e-17,True
24.850421164077787,3.6933197799122716e-14,True
145.94193154888313,,False
17.31865276862322,1.5811255442506617e-14,True
17.007086762759034,8.495063929345373e-16,True
179.46369608716344,,False
157.73490733694166,,False
26.27693262456464,2.522431654243139e-15,True
3.130040729449845,1.7976849345053478e-16,True
658.0456168523735,,False
14.237435932808339,1.2658292894389562e-16,True
144.054493112042,,False
