lambda I
474.4864296638487 -8.250871080139405
474.69853600621934 -8.250871080139405
474.9106345141807 -0.2508710801394045
475.12272518488044 7.7491289198605955
475.33480801546636 -0.2508710801394045
475.54688300308607 31.749128919860595
475.7589501448874 35.749128919860595
475.971009438018 39.749128919860595
476.1830608796255 31.749128919860595
476.39510446685773 -0.2508710801394045
476.6071401968623 -24.250871080139405
476.81916806678703 23.749128919860595
477.0311880737795 23.749128919860595
477.2432002149876 -0.2508710801394045
477.4552044875589 -0.2508710801394045
477.6672008886411 3.7491289198605955
477.87918941538203 7.7491289198605955
478.09117006492926 15.749128919860595
478.30314283443056 -8.250871080139405
478.51510772103364 7.7491289198605955
478.7270647218863 31.749128919860595
478.9390138341361 31.749128919860595
479.1509550549308 19.749128919860595
479.3628883814182 7.7491289198605955
479.5748138107459 -16.250871080139405
479.7867313400617 -24.250871080139405
479.99864096651316 -32.250871080139405
480.2105426872482 -32.250871080139405
480.4224364994144 -16.250871080139405
480.6343224001595 3.7491289198605955
480.84620038663115 23.749128919860595
481.05807045597714 11.749128919860595
481.2699326053451 -0.2508710801394045
481.4817868318828 -0.2508710801394045
481.693633132738 -0.2508710801394045
481.90547150505836 -8.250871080139405
482.1173019459916 -0.2508710801394045
482.3291244526853 -12.250871080139405
482.54093902228743 -24.250871080139405
482.7527456519455 -40.250871080139405
482.9645443388073 -24.250871080139405
483.17633508002046 -32.250871080139405
483.3881178727327 -40.250871080139405
483.59989271409194 -16.250871080139405
483.81165960124565 23.749128919860595
484.0234185313416 31.749128919860595
484.23516950152754 -0.2508710801394045
484.44691250895113 -16.250871080139405
484.65864755076007 -0.2508710801394045
484.8703746241023 -0.2508710801394045
485.0820937261252 -0.2508710801394045
485.2938048539766 7.7491289198605955
485.50550800480426 -0.2508710801394045
485.7172031757559 -16.250871080139405
485.9288903639792 -32.250871080139405
486.1405695666218 -16.250871080139405
486.3522407808315 31.749128919860595
486.563904003756 31.749128919860595
486.77555923254306 7.7491289198605955
486.9872064643402 -24.250871080139405
487.1988456962953 -32.250871080139405
487.41047692555605 15.749128919860595
487.6221001492701 -0.2508710801394045
487.83371536458526 11.749128919860595
488.0453225686491 23.749128919860595
488.2569217586095 31.749128919860595
488.4685129316141 7.7491289198605955
488.68009608481043 -8.250871080139405
488.8916712153465 7.7491289198605955
489.1032383203698 -16.250871080139405
489.3147973970282 -0.2508710801394045
489.5263484424692 7.7491289198605955
489.7378914538408 -24.250871080139405
489.94942642829045 -28.250871080139405
490.16095336296604 -32.250871080139405
490.37247225501517 -32.250871080139405
490.58398310158555 -32.250871080139405
490.79548589982494 -32.250871080139405
491.00698064688106 -0.2508710801394045
491.2184673399016 7.7491289198605955
491.4299459760342 -8.250871080139405
491.64141655242673 -8.250871080139405
491.8528790662267 -8.250871080139405
492.064333514582 -8.250871080139405
492.27577989464027 -0.2508710801394045
492.4872182035492 7.7491289198605955
492.69864843845653 15.749128919860595
492.9100705965099 -0.2508710801394045
493.12148467485713 -0.2508710801394045
493.3328906706459 23.749128919860595
493.5442885810239 39.749128919860595
493.7556784031388 23.749128919860595
493.9670601341384 -0.2508710801394045
494.1784337711703 -4.2508710801394045
494.3897993113824 -8.250871080139405
494.6011567519221 -40.250871080139405
494.8125060899374 -24.250871080139405
495.0238473225759 -16.250871080139405
495.2351804469853 -16.250871080139405
495.44650546031335 -0.2508710801394045
495.6578223597077 -16.250871080139405
