v	A
3.17096710	0.00034973
3.18288803	0.00015158
3.19480896	0.00101090
3.20672989	0.00138008
3.21865082	0.00122399
3.23057175	0.00126102
3.24249268	0.00090036
3.25441360	0.00069991
3.26633453	0.00117196
3.27825546	0.00084519
3.29017639	0.00144095
3.30209732	0.00224267
3.31401825	0.00290474
3.32593918	0.00334578
3.33786011	0.00245517
3.34978104	0.00178135
3.36170197	0.00206608
3.37362289	0.00192208
3.38554382	0.00155391
3.39746475	0.00115969
3.40938568	0.00062620
3.42130661	0.00029495
3.43322754	0.00019244
3.44514847	0.00028061
3.45706940	0.00047123
3.46899033	0.00124086
3.48091125	0.00216428
3.49283218	0.00219624
3.50475311	0.00156394
3.51667404	0.00071739
3.52859497	0.00080106
3.54051590	0.00144458
3.55243683	0.00124047
3.56435776	0.00072610
3.57627869	0.00119033
3.58819962	0.00109257
3.60012054	0.00120263
3.61204147	0.00192672
3.62396240	0.00174016
3.63588333	0.00276166
3.64780426	0.00375641
3.65972519	0.00423408
3.67164612	0.00423643
3.68356705	0.00267217
3.69548798	0.00115348
3.70740891	0.00096606
3.71932983	0.00114354
3.73125076	0.00141857
3.74317169	0.00156708
3.75509262	0.00148100
3.76701355	0.00115078
3.77893448	0.00024747
3.79085541	0.00096459
3.80277634	0.00125339
3.81469727	0.00072863
3.82661819	0.00090674
3.83853912	0.00118595
3.85046005	0.00144234
3.86238098	0.00117889
3.87430191	0.00078536
3.88622284	0.00186741
3.89814377	0.00234687
3.91006470	0.00164955
3.92198563	0.00094028
3.93390656	0.00054436
3.94582748	0.00139153
3.95774841	0.00738556
3.96966934	0.03509220
3.98159027	0.07268866
3.99351120	0.08531968
4.00543213	0.08504004
4.01735306	0.07418454
4.02927399	0.03774662
4.04119492	0.00768527
4.05311584	0.00079438
4.06503677	0.00080961
4.07695770	0.00087194
4.08887863	0.00106615
4.10079956	0.00126892
4.11272049	0.00103576
4.12464142	0.00037344
4.13656235	0.00027809
4.14848328	0.00036637
4.16040421	0.00054073
4.17232513	0.00090576
4.18424606	0.00061422
4.19616699	0.00096496
4.20808792	0.00107812
4.22000885	0.00038465
4.23192978	0.00054279
4.24385071	0.00097575
4.25577164	0.00150225
4.26769257	0.00158625
4.27961349	0.00140677
4.29153442	0.00262756
4.30345535	0.00383920
4.31537628	0.00466636
4.32729721	0.00505108
4.33921814	0.00412530
4.35113907	0.00328699
4.36306000	0.00283187
4.37498093	0.00188735
4.38690186	0.00127459
4.39882278	0.00106719
4.41074371	0.00085295
4.42266464	0.00054404
4.43458557	0.00015294
4.44650650	0.00074913
4.45842743	0.00075805
4.47034836	0.00078654
4.48226929	0.00098229
4.49419022	0.00067520
4.50611115	0.00065601
4.51803207	0.00078849
4.52995300	0.00087848
4.54187393	0.00174955
4.55379486	0.00195612
4.56571579	0.00158940
4.57763672	0.00149965
4.58955765	0.00081724
4.60147858	0.00067402
4.61339951	0.00088443
4.62532043	0.00132756
4.63724136	0.00421808
4.64916229	0.00598372
4.66108322	0.00677711
4.67300415	0.00630152
4.68492508	0.00360154
4.69684601	0.00123037
4.70876694	0.00056973
4.72068787	0.00054544
4.73260880	0.00069609
4.74452972	0.00075072
4.75645065	0.00064538
4.76837158	0.00037830
4.78029251	0.00017959
4.79221344	0.00083924
4.80413437	0.00103250
4.81605530	0.00111959
4.82797623	0.00133284
4.83989716	0.00113416
4.85181808	0.00066113
4.86373901	0.00041071
4.87565994	0.00063203
4.88758087	0.00143410
4.89950180	0.00126025
4.91142273	0.00122288
4.92334366	0.00127215
4.93526459	0.00092752
4.94718552	0.00203417
4.95910645	0.01006111
4.97102737	0.04022108
4.98294830	0.07556326
4.99486923	0.08479317
5.00679016	0.08378810
5.01871109	0.07004798
5.03063202	0.03258917
5.04255295	0.00587323
5.05447388	0.00116676
5.06639481	0.00099978
5.07831573	0.00051893
5.09023666	0.00028503
5.10215759	0.00091819
5.11407852	0.00097693
5.12599945	0.00106275
5.13792038	0.00126229
5.14984131	0.00107377
5.16176224	0.00105657
5.17368317	0.00104328
5.18560410	0.00057188
5.19752502	0.00110874
5.20944595	0.00133498
5.22136688	0.00095512
5.23328781	0.00127913
5.24520874	0.00110551
5.25712967	0.00138145
5.26905060	0.00169180
5.28097153	0.00114465
