V,Idark,Ilight
1,0.22,1.3
5,0.32,1.41
10,0.35,1.44
15,0.38,1.46
20,0.42,1.51
25,0.48,1.61
30,0.58,1.85
35,0.74,2.28
40,1.00,3.02
45,1.45,4.29
50,2.32,6.71
55,6.62,15.8
56,10.23,21.4
57,15.80,30.0
57.5,19.5,36.1
58,42.0,44.2
58.1,80,45.6
58.2,95,47.1
58.3,180
58.4,415
58.5,900
58.6,2900
58.7,8900
58.8,11200
58.9,12100
59.0,13300
59.5,18500
60.0,24500
60.5,30000



