V,Idark,Ilight
1,0.26,
5,0.40,
10,0.45,
15,0.51,
20,0.59,
25,0.65,
30,0.88,
35,1.12,
40,1.51,
45,2.09,
50,3.03,
55,4.97,18.2
60,17.15,54.4
65,582,
70,2440,
65,577,
60,16.7,
55,
