T,V1,V2,V3
+5.77600E-03,+468.25879E-03,+25.88671148E+00,-23.97934E-03
+5.79000E-03,+455.38732E-03,+25.97342986E+00,-23.97934E-03
+5.80400E-03,+444.56899E-03,+26.02368112E+00,-24.09415E-03
+5.81800E-03,+424.96367E-03,+26.07393238E+00,-23.97934E-03
+5.83200E-03,+396.55740E-03,+26.15605826E+00,-23.97934E-03
+5.84600E-03,+371.18052E-03,+26.17443489E+00,-23.97934E-03
+5.86000E-03,+347.84962E-03,+26.27493740E+00,-23.97934E-03
+5.87400E-03,+329.60842E-03,+26.28269146E+00,-23.97934E-03
+5.88800E-03,+308.86896E-03,+26.37543992E+00,-26.49190E-03
+5.90200E-03,+294.38229E-03,+26.42569117E+00,-23.97934E-03
+5.91600E-03,+280.75704E-03,+26.49230894E+00,-25.67357E-03
+5.93000E-03,+271.10880E-03,+26.52619369E+00,-25.19967E-03
+5.94400E-03,+261.46056E-03,+26.59424931E+00,-24.86955E-03
+5.95800E-03,+253.06860E-03,+26.67694746E+00,-24.46755E-03
+5.97200E-03,+245.97602E-03,+26.72719871E+00,-23.97934E-03
+5.98600E-03,+239.89562E-03,+26.82138502E+00,-26.49190E-03
+6.00000E-03,+235.07150E-03,+26.82770123E+00,-25.77408E-03
+6.01400E-03,+232.06357E-03,+26.90580716E+00,-23.97934E-03
+6.02800E-03,+231.70466E-03,+26.97845500E+00,-23.97934E-03
+6.04200E-03,+229.98182E-03,+26.97845500E+00,-23.97934E-03
+6.05600E-03,+232.10667E-03,+27.03244036E+00,-24.16604E-03
+6.07000E-03,+232.30768E-03,+27.12490268E+00,-24.19464E-03
+6.08400E-03,+237.22515E-03,+27.10365007E+00,-25.87459E-03
+6.09800E-03,+241.74061E-03,+27.17946002E+00,-24.99866E-03
+6.11200E-03,+248.36663E-03,+27.25153588E+00,-25.07057E-03
+6.12600E-03,+256.75859E-03,+27.33021379E+00,-24.66856E-03
+6.14000E-03,+264.03788E-03,+27.38046505E+00,-23.97934E-03
+6.15400E-03,+272.28623E-03,+27.38046505E+00,-23.97934E-03
+6.16800E-03,+283.44916E-03,+27.43071631E+00,-25.97509E-03
+6.18200E-03,+296.94530E-03,+27.51284247E+00,-23.97934E-03
+6.19600E-03,+310.55625E-03,+27.55505353E+00,-23.97934E-03
+6.21000E-03,+328.00058E-03,+27.59726460E+00,-24.76906E-03
+6.22400E-03,+346.04078E-03,+27.68972692E+00,-26.10418E-03
+6.23800E-03,+365.33012E-03,+27.68225844E+00,-26.47761E-03
+6.25200E-03,+385.89003E-03,+27.78247510E+00,-24.39564E-03
+6.26600E-03,+405.59567E-03,+27.86661138E+00,-25.67359E-03
+6.28000E-03,+427.64168E-03,+27.85857119E+00,-25.19966E-03
+6.29400E-03,+450.95112E-03,+27.93322887E+00,-23.97934E-03
+6.30800E-03,+479.89584E-03,+27.98348013E+00,-23.97934E-03
+6.32200E-03,+510.18306E-03,+28.08398264E+00,-26.40569E-03
+6.33600E-03,+545.16508E-03,+28.13423390E+00,-23.66354E-03
+6.35000E-03,+573.90881E-03,+28.18448516E+00,-23.97934E-03
+6.36400E-03,+601.95615E-03,+28.21234010E+00,-23.97934E-03
+6.37800E-03,+632.65253E-03,+28.28498767E+00,-23.97934E-03
+6.39200E-03,+662.35816E-03,+28.29676224E+00,-23.97934E-03
+6.40600E-03,+696.60809E-03,+28.38549018E+00,-23.97934E-03
+6.42000E-03,+737.51262E-03,+28.43574144E+00,-23.97934E-03
+6.43400E-03,+780.92971E-03,+28.48599270E+00,-23.97934E-03
+6.44800E-03,+819.08470E-03,+28.56610902E+00,-23.97934E-03
+6.46200E-03,+854.82048E-03,+28.63674647E+00,-23.97934E-03
+6.47600E-03,+889.13495E-03,+28.65053115E+00,-23.97934E-03
+6.49000E-03,+921.64751E-03,+28.69274222E+00,-23.97934E-03
+6.50400E-03,+956.67264E-03,+28.78520454E+00,-23.86455E-03
+6.51800E-03,+994.21033E-03,+28.83775149E+00,-23.97934E-03
+6.53200E-03,+1.03334178E+00,+28.86962667E+00,-23.97934E-03
+6.54600E-03,+1.07424630E+00,+28.91183774E+00,-23.97934E-03
+6.56000E-03,+1.10768481E+00,+28.97271046E+00,-23.97934E-03
+6.57400E-03,+1.14039838E+00,+28.99625987E+00,-23.59161E-03
+6.58800E-03,+1.16935025E+00,+29.08872220E+00,-23.97934E-03
+6.60200E-03,+1.19828783E+00,+29.13925903E+00,-23.97934E-03
+6.61600E-03,+1.23018310E+00,+29.17314433E+00,-22.28507E-03
+6.63000E-03,+1.26371497E+00,+29.21535540E+00,-23.97934E-03
+6.64400E-03,+1.29642854E+00,+29.29001280E+00,-23.97934E-03
+6.65800E-03,+1.32764171E+00,+29.29977753E+00,-23.97934E-03
+6.67200E-03,+1.35423176E+00,+29.34198860E+00,-23.97934E-03
+6.68600E-03,+1.37698131E+00,+29.44076657E+00,-23.97934E-03
+6.70000E-03,+1.39695247E+00,+29.52691324E+00,-23.97934E-03
+6.71400E-03,+1.41784272E+00,+29.56912431E+00,-22.58658E-03
+6.72800E-03,+1.44021167E+00,+29.64177160E+00,-23.97934E-03
+6.74200E-03,+1.45980252E+00,+29.68024801E+00,-23.39059E-03
+6.75600E-03,+1.48131719E+00,+29.69575751E+00,-21.46677E-03
+6.77000E-03,+1.49935740E+00,+29.74227411E+00,-23.97934E-03
+6.78400E-03,+1.51393740E+00,+29.84277663E+00,-23.97934E-03
+6.79800E-03,+1.52840976E+00,+29.87264197E+00,-23.97934E-03
+6.81200E-03,+1.53911328E+00,+29.96510429E+00,-23.97934E-03
+6.82600E-03,+1.55072845E+00,+30.00731536E+00,-23.29009E-03
+6.84000E-03,+1.56177660E+00,+30.04952642E+00,-23.97934E-03
+6.85400E-03,+1.57373640E+00,+30.09403291E+00,-23.97934E-03
+6.86800E-03,+1.58318363E+00,+30.14428417E+00,-23.97934E-03
+6.88200E-03,+1.59103710E+00,+30.22641088E+00,-24.89813E-03
+6.89600E-03,+1.59771338E+00,+30.21837069E+00,-23.97934E-03
+6.91000E-03,+1.60445418E+00,+30.29503794E+00,-23.97934E-03
+6.92400E-03,+1.60927830E+00,+30.34528919E+00,-21.85452E-03
+6.93800E-03,+1.61535157E+00,+30.44550640E+00,-23.99360E-03
+6.95200E-03,+1.61913468E+00,+30.48771747E+00,-23.97934E-03
+6.96600E-03,+1.62459781E+00,+30.52992854E+00,-23.97934E-03
+6.98000E-03,+1.62853880E+00,+30.54629422E+00,-23.97934E-03
+6.99400E-03,+1.63169750E+00,+30.61435067E+00,-24.86960E-03
+7.00800E-03,+1.63319790E+00,+30.64679673E+00,-23.97934E-03
+7.02200E-03,+1.63550946E+00,+30.69877280E+00,-23.97934E-03
+7.03600E-03,+1.63797890E+00,+30.79123513E+00,-26.17613E-03
+7.05000E-03,+1.63959407E+00,+30.84780176E+00,-23.97934E-03
+7.06400E-03,+1.64174775E+00,+30.89805302E+00,-23.97934E-03
+7.07800E-03,+1.64300403E+00,+30.96811958E+00,-25.50113E-03
+7.09200E-03,+1.64551659E+00,+31.01033065E+00,-24.56809E-03
+7.10600E-03,+1.64435368E+00,+31.05254172E+00,-23.97934E-03
+7.12000E-03,+1.64677287E+00,+31.14930930E+00,-24.19460E-03
+7.13400E-03,+1.64802915E+00,+31.14930930E+00,-24.59661E-03
+7.14800E-03,+1.64877579E+00,+31.22942617E+00,-23.97934E-03
+7.16200E-03,+1.64802915E+00,+31.27163724E+00,-23.97934E-03
+7.17600E-03,+1.64928544E+00,+31.35031433E+00,-23.97934E-03
+7.19000E-03,+1.64802915E+00,+31.40056558E+00,-23.97934E-03
+7.20400E-03,+1.65048434E+00,+31.49877295E+00,-23.97934E-03
+7.21800E-03,+1.64954382E+00,+31.54098402E+00,-23.97934E-03
+7.23200E-03,+1.65008233E+00,+31.58319509E+00,-23.97934E-03
+7.24600E-03,+1.65054172E+00,+31.57515490E+00,-25.17111E-03
+7.26000E-03,+1.64928544E+00,+31.66761722E+00,-24.76910E-03
+7.27400E-03,+1.64928544E+00,+31.69431796E+00,-26.10414E-03
+7.28800E-03,+1.64928544E+00,+31.75260941E+00,-26.47765E-03
+7.30200E-03,+1.64928544E+00,+31.84450168E+00,-23.97934E-03
+7.31600E-03,+1.64928544E+00,+31.90307815E+00,-23.97934E-03
+7.33000E-03,+1.64928544E+00,+31.92892381E+00,-25.19962E-03
+7.34400E-03,+1.64802915E+00,+31.98577520E+00,-23.97934E-03
+7.35800E-03,+1.64802915E+00,+32.00358066E+00,-26.49190E-03
+7.37200E-03,+1.64798603E+00,+32.05555701E+00,-24.06559E-03
+7.38600E-03,+1.64802915E+00,+32.14801933E+00,-26.49190E-03
+7.40000E-03,+1.64802915E+00,+32.19023040E+00,-26.49190E-03
+7.41400E-03,+1.64746927E+00,+32.28269272E+00,-25.09911E-03
+7.42800E-03,+1.64677287E+00,+32.35533946E+00,-26.49190E-03
+7.44200E-03,+1.64677287E+00,+32.40559072E+00,-26.49190E-03
+7.45600E-03,+1.64677287E+00,+32.45584197E+00,-23.97934E-03
+7.47000E-03,+1.64551659E+00,+32.50609323E+00,-23.97934E-03
+7.48400E-03,+1.64677287E+00,+32.58190539E+00,-24.59660E-03
+7.49800E-03,+1.64551659E+00,+32.63646164E+00,-25.47263E-03
+7.51200E-03,+1.64551659E+00,+32.67867270E+00,-25.40061E-03
