t (s),V (mV)
312.906,12.1652
313.906,12.1524
314.906,12.1403
315.907,12.1277
316.906,12.1155
317.906,12.1026
318.907,12.0899
319.906,12.078
320.906,12.0662
321.906,12.0547
322.906,12.04
323.906,12.0289
324.906,12.0174
325.907,12.0039
326.906,11.992
327.906,11.9797
328.906,11.9681
329.906,11.9547
330.906,11.9438
331.906,11.9312
332.906,11.9207
333.906,11.9073
334.907,11.8927
335.906,11.8811
336.906,11.8699
337.906,11.8571
338.906,11.854
339.906,11.8409
340.906,11.8231
341.906,11.8087
342.906,11.7957
343.906,11.783
344.906,11.7709
345.907,11.7577
346.906,11.7464
347.906,11.7348
348.908,11.7214
349.907,11.7092
350.906,11.6973
351.907,11.6856
352.906,11.674
353.906,11.6624
354.906,11.6501
355.906,11.6391
356.906,11.6261
357.906,11.6144
358.906,11.6035
359.906,11.5913
360.906,11.5791
361.906,11.5661
362.906,11.5556
363.906,11.544
364.907,11.5322
365.906,11.521
366.906,11.5108
367.906,11.4988
368.907,11.4858
369.906,11.4749
370.906,11.4639
371.906,11.4523
372.906,11.4399
373.906,11.4282
374.906,11.4174
375.906,11.4054
376.907,11.3922
377.906,11.3809
378.907,11.3681
379.906,11.3572
380.907,11.3447
381.906,11.333
382.907,11.3202
383.906,11.3101
384.906,11.2983
385.906,11.287
386.906,11.2752
387.906,11.2627
388.906,11.2521
389.906,11.2407
390.906,11.2302
391.907,11.2172
392.906,11.2076
393.907,11.1956
394.906,11.1851
395.907,11.1726
396.906,11.1618
397.907,11.1508
398.906,11.1388
399.907,11.1285
400.906,11.1165
401.906,11.1061
402.906,11.0955
403.906,11.083
404.906,11.0724
405.906,11.0604
406.907,11.049
407.906,11.0391
408.906,11.0285
409.907,11.0172
410.906,11.0057
411.906,10.9956
412.906,10.9843
413.906,10.9721
414.906,10.9617
415.907,10.95
416.906,10.9398
417.906,10.93
418.906,10.9191
419.907,10.9067
420.906,10.8981
421.906,10.8882
422.906,10.8763
423.907,10.8651
424.906,10.8551
425.906,10.8452
426.906,10.8359
427.907,10.8231
428.906,10.8134
429.906,10.8033
430.906,10.7929
431.906,10.7821
432.906,10.7709
433.906,10.7603
434.906,10.7502
435.906,10.739
436.907,10.7277
437.906,10.7177
438.907,10.7073
439.906,10.6968
440.907,10.6849
441.906,10.6753
442.906,10.663
443.907,10.6539
444.906,10.6416
445.906,10.6104
446.906,10.6057
447.905,10.6011
448.905,10.595
449.905,10.5846
450.905,10.5737
451.905,10.5636
452.905,10.5523
453.905,10.5412
454.905,10.5309
455.905,10.522
456.905,10.5139
457.905,10.5011
458.905,10.4897
459.905,10.4787
460.905,10.4681
461.905,10.4588
462.905,10.4496
463.906,10.4387
464.905,10.4298
465.908,10.4196
466.905,10.4106
467.905,10.4023
468.905,10.3923
469.905,10.3821
470.917,10.366
471.905,10.3628
472.905,10.3518
473.905,10.3424
474.905,10.3316
475.905,10.3219
476.905,10.313
477.905,10.302
478.905,10.2913
479.905,10.2812
480.905,10.2703
481.905,10.2605
482.905,10.2498
483.905,10.2393
484.905,10.2285
485.905,10.2194
486.905,10.2095
487.905,10.1977
488.905,10.1879
489.905,10.1764
490.905,10.1676
491.905,10.1566
492.905,10.1461
493.905,10.1368
494.905,10.1258
495.905,10.1164
496.905,10.1059
497.905,10.0962
498.905,10.0861
499.905,10.0759
500.905,10.0661
501.905,10.0572
502.905,10.0462
503.905,10.0375
504.905,10.027
505.905,10.0177
506.905,10.0078
507.906,9.9984
508.906,9.988
509.907,9.9794
510.907,9.9699
511.907,9.959
512.906,9.9483
513.906,9.9396
514.906,9.9283
515.906,9.9185
516.906,9.9085
517.906,9.8977
518.907,9.8899
519.906,9.8771
520.907,9.8691
521.906,9.8593
522.906,9.8481
523.906,9.8382
524.906,9.8277
525.906,9.8177
526.906,9.8066
527.906,9.7969
528.906,9.7878
529.906,9.7798
530.907,9.7687
531.906,9.7566
532.906,9.7468
533.906,9.7364
534.906,9.7254
535.906,9.7159
536.906,9.7059
537.906,9.6969
538.907,9.6877
539.907,9.6777
540.906,9.668
541.906,9.6587
542.906,9.6497
543.906,9.6402
544.906,9.6298
545.906,9.6215
546.907,9.6131
547.906,9.6022
548.906,9.5923
549.906,9.5836
550.906,9.5745
551.906,9.5658
552.906,9.5579
553.906,9.5521
554.906,9.5332
555.906,9.5268
556.906,9.5194
557.906,9.5105
558.906,9.5015
559.906,9.4931
560.906,9.4837
561.906,9.4761
562.907,9.4646
563.906,9.4588
564.906,9.4502
565.906,9.442
566.906,9.4339
567.906,9.4241
568.906,9.4153
569.906,9.4069
570.906,9.3979
571.906,9.3888
572.906,9.3796
573.906,9.3709
574.906,9.362
575.907,9.3527
576.906,9.3433
577.906,9.3346
578.907,9.3247
579.906,9.3151
580.906,9.3051
581.906,9.2956
582.906,9.2881
583.906,9.2783
584.907,9.2693
585.907,9.2595
586.906,9.2501
587.906,9.2411
588.906,9.2329
589.906,9.223
590.906,9.2135
591.906,9.2042
592.906,9.1957
593.906,9.1854
594.907,9.1777
595.906,9.1676
596.906,9.1578
597.906,9.1469
598.906,9.1373
599.906,9.1281
600.907,9.1207
601.907,9.1105
602.906,9.1013
603.906,9.0911
604.906,9.082
605.906,9.0713
606.906,9.0627
607.906,9.0539
608.906,9.0445
609.907,9.0366
610.907,9.0273
611.906,9.0182
612.906,9.0078
613.906,8.9995
614.906,8.9902
615.906,8.9815
616.906,8.9728
617.906,8.9646
618.906,8.9552
619.906,8.9464
620.906,8.9376
621.906,8.9289
622.906,8.9205
623.906,8.9113
624.906,8.9027
625.906,8.8939
626.906,8.8849
627.906,8.8767
628.906,8.8673
629.907,8.858
630.906,8.8496
631.906,8.8411
632.906,8.8327
633.906,8.8263
634.907,8.816
635.907,8.8077
636.906,8.7995
637.906,8.7915
638.906,8.7834
639.906,8.7748
640.906,8.767
641.906,8.7582
642.907,8.7483
643.906,8.7404
644.906,8.7319
645.906,8.7232
646.907,8.714
647.907,8.7053
648.906,8.697
649.906,8.6882
650.906,8.6804
651.907,8.6707
652.906,8.6626
653.906,8.6531
654.906,8.6464
655.906,8.6365
656.906,8.627
657.906,8.6184
658.906,8.6102
659.906,8.6016
660.906,8.5933
661.906,8.5846
662.906,8.576
663.906,8.5677
664.907,8.5583
665.906,8.5496
666.906,8.5419
667.906,8.5342
