nm;arb.u
542.53;124.0
542.93;125.0
543.34;127.0
543.74;127.0
544.14;129.0
544.55;129.0
544.95;129.0
545.35;131.0
545.75;131.0
546.16;131.0
546.56;133.0
546.96;133.0
547.36;133.0
547.76;133.0
548.17;134.0
548.57;135.0
548.97;135.0
549.37;135.0
549.77;135.0
550.17;135.0
550.57;135.0
550.97;135.0
551.37;135.0
551.77;135.0
552.18;135.0
552.58;135.0
552.98;135.0
553.38;134.0
553.77;134.0
554.17;133.0
554.57;133.0
554.97;133.0
555.37;133.0
555.77;132.0
556.17;131.0
556.57;131.0
556.97;131.0
557.37;131.0
557.77;129.0
558.16;129.0
558.56;128.0
558.96;128.0
559.36;127.0
559.76;127.0
560.15;126.0
560.55;125.0
560.95;124.0
561.35;124.0
561.74;122.0
562.14;122.0
562.54;120.0
562.93;119.0
563.33;118.0
563.73;116.0
564.12;115.0
564.52;113.0
564.92;111.0
565.31;110.0
565.71;109.0
566.10;107.0
566.50;105.0
566.89;103.0
567.29;102.0
567.69;100.0
568.08;99.0
568.48;97.0
568.87;95.0
569.26;93.0
569.66;93.0
570.05;91.0
570.45;89.0
570.84;87.0
571.24;87.0
571.63;86.0
572.02;86.0
572.42;84.0
572.81;84.0
573.20;82.0
573.60;82.0
573.99;83.0
574.38;81.0
574.78;81.0
575.17;81.0
575.56;80.0
575.95;80.0
576.35;80.0
576.74;79.0
577.13;78.0
577.52;78.0
577.92;77.0
578.31;76.0
578.70;75.0
579.09;74.0
579.48;73.0
579.87;72.0
580.26;70.0
580.65;69.0
581.05;68.0
581.44;67.0
581.83;65.0
582.22;64.0
582.61;62.0
583.00;61.0
583.39;59.0
583.78;58.0
584.17;57.0
584.56;55.0
584.95;54.0
585.34;52.0
585.72;51.0
586.11;50.0
586.50;48.0
586.89;47.0
587.28;46.0
587.67;44.0
588.06;44.0
588.45;43.0
588.83;41.0
589.22;40.0
589.61;39.0
590.00;39.0
590.39;37.0
590.77;37.0
591.16;37.0
591.55;35.0
591.93;35.0
592.32;33.0
592.71;33.0
593.10;32.0
593.48;31.0
593.87;30.0
594.25;29.0
594.64;29.0
595.03;27.0
595.41;27.0
595.80;27.0
596.18;27.0
596.57;25.0
596.96;25.0
597.34;25.0
597.73;25.0
598.11;23.0
598.50;23.0
598.88;23.0
599.27;23.0
599.65;21.0
600.03;21.0
600.42;20.0
600.80;20.0
601.19;19.0
601.57;19.0
601.95;19.0
602.34;19.0
602.72;18.0
603.11;17.0
603.49;17.0
603.87;17.0
604.25;16.0
604.64;15.0
605.02;15.0
605.40;15.0
605.79;15.0
606.17;14.0
606.55;14.0
606.93;14.0
