nm;arb.u
534.96;144.0
535.38;144.0
535.80;144.0
536.23;144.0
536.65;144.0
537.08;144.0
537.50;144.0
537.93;144.0
538.35;144.0
538.78;144.0
539.20;144.0
539.63;144.0
540.05;143.0
540.48;142.0
540.91;142.0
541.33;142.0
541.76;143.0
542.19;142.0
542.62;142.0
543.05;142.0
543.47;142.0
543.90;142.0
544.33;143.0
544.76;143.0
545.19;143.0
545.62;143.0
546.05;143.0
546.48;142.0
546.91;142.0
547.34;142.0
547.77;140.0
548.20;140.0
548.63;140.0
549.07;139.0
549.50;138.0
549.93;138.0
550.36;137.0
550.80;137.0
551.23;136.0
551.66;136.0
552.10;135.0
552.53;135.0
552.96;134.0
553.40;134.0
553.83;133.0
554.27;133.0
554.70;132.0
555.14;132.0
555.58;132.0
556.01;132.0
556.45;130.0
556.88;130.0
557.32;129.0
557.76;128.0
558.20;127.0
558.63;127.0
559.07;126.0
559.51;126.0
559.95;125.0
560.39;124.0
560.83;123.0
561.26;123.0
561.70;122.0
562.14;121.0
562.58;120.0
563.02;120.0
563.46;118.0
563.91;118.0
564.35;117.0
564.79;117.0
565.23;116.0
565.67;115.0
566.11;115.0
566.56;114.0
567.00;114.0
567.44;113.0
567.88;113.0
568.33;113.0
568.77;114.0
569.22;115.0
569.66;115.0
570.10;115.0
570.55;117.0
570.99;119.0
571.44;121.0
571.89;122.0
572.33;124.0
572.78;126.0
573.22;127.0
573.67;129.0
574.12;130.0
574.56;131.0
575.01;132.0
575.46;133.0
575.91;134.0
576.36;134.0
576.80;134.0
577.25;134.0
577.70;135.0
578.15;135.0
578.60;134.0
579.05;134.0
579.50;134.0
579.95;134.0
580.40;132.0
580.85;132.0
581.30;132.0
581.75;131.0
582.21;131.0
582.66;129.0
583.11;129.0
583.56;127.0
584.02;127.0
584.47;126.0
584.92;126.0
585.37;125.0
585.83;124.0
586.28;123.0
586.74;122.0
587.19;122.0
587.65;120.0
588.10;120.0
588.56;118.0
589.01;118.0
589.47;117.0
589.92;115.0
590.38;114.0
590.84;114.0
591.29;113.0
591.75;111.0
592.21;110.0
592.67;108.0
593.12;108.0
593.58;107.0
594.04;106.0
594.50;104.0
594.96;104.0
595.42;103.0
595.88;102.0
596.34;100.0
596.80;98.0
597.26;98.0
597.72;96.0
598.18;96.0
598.64;94.0
599.10;92.0
599.56;92.0
600.03;91.0
600.49;89.0
600.95;88.0
601.41;87.0
601.88;85.0
602.34;84.0
602.80;83.0
603.27;81.0
603.73;81.0
604.20;79.0
604.66;79.0
605.12;77.0
605.59;76.0
606.06;75.0
606.52;73.0
606.99;72.0
607.45;71.0
607.92;70.0
608.39;68.0
608.85;68.0
609.32;66.0
609.79;66.0
610.26;64.0
610.72;62.0
611.19;62.0
611.66;60.0
612.13;60.0
612.60;58.0
613.07;57.0
613.54;57.0
614.01;55.0
614.48;53.0
614.95;53.0
615.42;51.0
615.89;51.0
616.36;50.0
616.83;48.0
617.30;47.0
617.78;47.0
618.25;46.0
618.72;45.0
619.19;44.0
619.67;44.0
620.14;43.0
620.61;43.0
621.09;41.0
621.56;41.0
622.04;42.0
622.51;41.0
622.98;40.0
623.46;40.0
623.94;40.0
624.41;38.0
624.89;38.0
625.36;37.0
625.84;37.0
626.32;36.0
626.79;36.0
627.27;35.0
627.75;35.0
628.23;34.0
628.70;33.0
629.18;33.0
629.66;32.0
630.14;31.0
630.62;31.0
631.10;31.0
631.58;31.0
632.06;30.0
632.54;29.0
633.02;29.0
633.50;29.0
633.98;28.0
634.46;27.0
634.94;27.0
635.42;27.0
635.91;27.0
636.39;27.0
636.87;27.0
637.35;27.0
637.84;27.0
638.32;27.0
638.80;27.0
639.29;27.0
639.77;27.0
640.26;27.0
640.74;27.0
641.23;27.0
641.71;27.0
642.20;27.0
642.68;28.0
643.17;28.0
643.65;29.0
644.14;29.0
644.63;29.0
645.12;29.0
645.60;29.0
646.09;31.0
646.58;31.0
647.07;31.0
647.55;31.0
648.04;32.0
648.53;33.0
649.02;33.0
649.51;33.0
650.00;34.0
650.49;34.0
650.98;35.0
651.47;35.0
651.96;35.0
652.45;36.0
652.94;36.0
653.44;36.0
653.93;37.0
654.42;37.0
654.91;37.0
655.40;37.0
655.90;38.0
656.39;38.0
656.88;38.0
