nm;arb.u
534.96;90.0
535.38;89.0
535.80;88.0
536.23;88.0
536.65;89.0
537.08;88.0
537.50;88.0
537.93;88.0
538.35;88.0
538.78;88.0
539.20;87.0
539.63;87.0
540.05;87.0
540.48;87.0
540.91;87.0
541.33;87.0
541.76;87.0
542.19;87.0
542.62;87.0
543.05;87.0
543.47;88.0
543.90;90.0
544.33;90.0
544.76;91.0
545.19;90.0
545.62;90.0
546.05;89.0
546.48;88.0
546.91;86.0
547.34;84.0
547.77;83.0
548.20;80.0
548.63;79.0
549.07;77.0
549.50;75.0
549.93;75.0
550.36;74.0
550.80;74.0
551.23;73.0
551.66;72.0
552.10;72.0
552.53;71.0
552.96;70.0
553.40;69.0
553.83;69.0
554.27;69.0
554.70;67.0
555.14;67.0
555.58;67.0
556.01;66.0
556.45;64.0
556.88;64.0
557.32;64.0
557.76;64.0
558.20;63.0
558.63;63.0
559.07;61.0
559.51;61.0
559.95;61.0
560.39;59.0
560.83;59.0
561.26;59.0
561.70;59.0
562.14;58.0
562.58;58.0
563.02;58.0
563.46;56.0
563.91;56.0
564.35;56.0
564.79;56.0
565.23;56.0
565.67;56.0
566.11;56.0
566.56;55.0
567.00;55.0
567.44;55.0
567.88;56.0
568.33;56.0
568.77;56.0
569.22;56.0
569.66;57.0
570.10;57.0
570.55;58.0
570.99;59.0
571.44;59.0
571.89;60.0
572.33;61.0
572.78;62.0
573.22;62.0
573.67;63.0
574.12;64.0
574.56;64.0
575.01;64.0
575.46;64.0
575.91;65.0
576.36;66.0
576.80;66.0
577.25;66.0
577.70;66.0
578.15;66.0
578.60;66.0
579.05;66.0
579.50;66.0
579.95;66.0
580.40;66.0
580.85;66.0
581.30;66.0
581.75;66.0
582.21;66.0
582.66;66.0
583.11;66.0
583.56;66.0
584.02;65.0
584.47;65.0
584.92;65.0
585.37;64.0
585.83;63.0
586.28;63.0
586.74;63.0
587.19;63.0
587.65;63.0
588.10;62.0
588.56;61.0
589.01;61.0
589.47;61.0
589.92;60.0
590.38;60.0
590.84;59.0
591.29;58.0
591.75;58.0
592.21;58.0
592.67;58.0
593.12;56.0
593.58;56.0
594.04;56.0
594.50;55.0
594.96;55.0
595.42;54.0
595.88;53.0
596.34;53.0
596.80;52.0
597.26;51.0
597.72;51.0
598.18;50.0
598.64;50.0
599.10;50.0
599.56;48.0
600.03;48.0
600.49;48.0
600.95;47.0
601.41;46.0
601.88;46.0
602.34;45.0
602.80;45.0
603.27;45.0
603.73;44.0
604.20;43.0
604.66;43.0
605.12;42.0
605.59;41.0
606.06;41.0
606.52;41.0
606.99;40.0
607.45;40.0
607.92;39.0
608.39;38.0
608.85;39.0
609.32;38.0
609.79;38.0
610.26;37.0
610.72;36.0
611.19;36.0
611.66;36.0
612.13;35.0
612.60;34.0
613.07;34.0
613.54;34.0
614.01;33.0
614.48;33.0
614.95;33.0
615.42;33.0
615.89;32.0
616.36;31.0
616.83;31.0
617.30;31.0
617.78;31.0
618.25;30.0
618.72;30.0
619.19;32.0
619.67;32.0
620.14;32.0
620.61;33.0
621.09;34.0
621.56;34.0
622.04;35.0
622.51;35.0
622.98;35.0
623.46;35.0
623.94;35.0
624.41;34.0
624.89;34.0
625.36;33.0
625.84;33.0
626.32;32.0
626.79;33.0
627.27;34.0
627.75;34.0
628.23;33.0
628.70;33.0
629.18;32.0
629.66;33.0
630.14;32.0
630.62;32.0
631.10;32.0
631.58;32.0
632.06;32.0
632.54;32.0
633.02;31.0
633.50;31.0
633.98;31.0
634.46;30.0
634.94;31.0
635.42;30.0
635.91;30.0
636.39;30.0
636.87;30.0
637.35;30.0
637.84;30.0
638.32;30.0
638.80;30.0
639.29;30.0
639.77;30.0
640.26;30.0
640.74;31.0
641.23;31.0
641.71;32.0
642.20;32.0
642.68;32.0
643.17;32.0
643.65;33.0
644.14;34.0
644.63;34.0
645.12;35.0
645.60;35.0
646.09;36.0
646.58;36.0
647.07;37.0
647.55;37.0
648.04;38.0
648.53;38.0
649.02;39.0
649.51;39.0
650.00;39.0
650.49;39.0
650.98;39.0
651.47;40.0
651.96;39.0
652.45;39.0
652.94;39.0
653.44;41.0
